strongs_number,original_word,testament,language,part_of_speech,english_meaning,telugu_meaning,occurrences
H6675,צּוֹאָה צּוֹאָה,Old Testament,Hebrew,noun,filth(-iness). Marg. for H2716.,,3
A6676,צַּוַּאר,Old Testament,Aramaic,noun,neck,,4
H6677,צַּוָּאר צַּוָּר צַּוָּרוֹן צַּוָּארָה,Old Testament,Hebrew,noun,the back of the neck (as that on which burdens are bound),,41
H6678,צּוֹבָא צּוֹבָה צּוֹבָה,Old Testament,Hebrew,noun location,a region of Syria,,10
H6679,צּוּד,Old Testament,Hebrew,verb,victual,,18
H6680,צָּוָה,Old Testament,Hebrew,verb,enjoin,,496
H6681,צָּוַח,Old Testament,Hebrew,verb,to screech (exultingly),,1
H6682,צְּוָחָה,Old Testament,Hebrew,noun,a screech (of anguish),,4
H6683,צּוּלָה,Old Testament,Hebrew,noun,deep,,1
H6684,צּוּם,Old Testament,Hebrew,verb,i.e. to fast,,21
H6685,צּוֹם צּוֹם,Old Testament,Hebrew,noun,a fast,,26
H6686,צּוּעָר,Old Testament,Hebrew,noun proper,an Israelite,,5
H6687,צּוּף,Old Testament,Hebrew,verb,swim.,,3
H6688,צּוּף,Old Testament,Hebrew,noun,comb of honey (from dripping),,2
H6689,צּוּף צּוֹפַי צִּיף,Old Testament,Hebrew,noun location,the name of an Israelite and of a place in Israel,,5
H6690,צּוֹפַח,Old Testament,Hebrew,noun proper,an Israelite,,2
H6691,צּוֹפַר,Old Testament,Hebrew,noun proper,a friend of Job,,4
H6692,צּוּץ,Old Testament,Hebrew,verb,"by analogy, to blossom (figuratively, flourish)",,9
H6693,צּוּק,Old Testament,Hebrew,verb,"i.e. (figuratively) oppress, distress",,11
H6694,צּוּק,Old Testament,Hebrew,verb,"i.e. (figuratively) smelt, utter",,3
H6695,צּוֹק צּוּקָה,Old Testament,Hebrew,noun,i.e. (figuratively) distress,,4
H6696,צּוּר,Old Testament,Hebrew,verb,"i.e. confine (in many applications, literally and figuratively, formative or hostile)",,36
H6697,צּוּר צּוּר,Old Testament,Hebrew,noun,(generally) a rock or boulder; (figuratively) a refuge,,78
H6698,צּוּר,Old Testament,Hebrew,noun proper,the name of a Midianite and of an Israelite,,5
H6699,צּוּרָה,Old Testament,Hebrew,noun,rock.,,5
H6700,צּוּרִיאֵל,Old Testament,Hebrew,noun proper,an Israelite,,1
H6701,צּוּרִישַׁדַּי,Old Testament,Hebrew,noun proper,an Israelite,,5
H6702,צּוּת,Old Testament,Hebrew,verb,to blaze,,1
H6703,צַּח,Old Testament,Hebrew,adjective,"i.e. sunny, bright, (figuratively) evident",,4
H6704,צִּחֶה,Old Testament,Hebrew,adjective,parched,,1
H6705,צָּחַח,Old Testament,Hebrew,verb,i.e. be dazzling white,,1
H6706,צְּחִיַח,Old Testament,Hebrew,noun,i.e. exposed to the bright sun,,5
H6707,צְּחִיחָה,Old Testament,Hebrew,noun,i.e. the desert,,1
H6708,צְּחִיחִי,Old Testament,Hebrew,noun,i.e. in the glaring sun,,1
H6709,צַּחֲנָה,Old Testament,Hebrew,noun,stench,,1
H6710,צַּחצָּחָה,Old Testament,Hebrew,noun,i.e. desert,,1
H6711,צָּחַק,Old Testament,Hebrew,verb,"mock, play, make sport.",,13
H6712,צְּחוֹק,Old Testament,Hebrew,noun,laughter (in pleasure or derision),,2
H6713,צַּחַר,Old Testament,Hebrew,noun,i.e. whiteness,,1
H6714,צּוֹחַר,Old Testament,Hebrew,noun proper,the name of a Hittite and of an Israelite,,5
H6715,צָּחוֹר,Old Testament,Hebrew,adjective,white,,1
H6716,צִּי,Old Testament,Hebrew,noun,a ship (as a fixture),,4
H6717,צִּיבָּא,Old Testament,Hebrew,noun proper,an Israelite,,16
H6718,צַּיִד,Old Testament,Hebrew,noun,"food, X hunter, (that which he took in) hunting, venison, victuals.",,18
H6719,צַּיָד,Old Testament,Hebrew,noun,a huntsman,,1
H6720,צֵּידָּה צֵּדָה,Old Testament,Hebrew,noun,"provision, venison, victuals.",,11
H6721,צִּידּוֹן צִּידּוֹן,Old Testament,Hebrew,noun location,"the name of a son of Canaan, and of a place in Israel",,22
H6722,צִּידּוֹנִי צִּדוֹנִי,Old Testament,Hebrew,adjective,"of Sidon, Zidonian.",,16
H6723,צִּיָה,Old Testament,Hebrew,noun,"drought, dry (land, place), solitary place, wilderness.",,16
H6724,צִּיוֹן,Old Testament,Hebrew,noun,a desert,,2
H6725,צִּיוּן,Old Testament,Hebrew,noun,"title, waymark.",,3
H6726,צִּיוֹן,Old Testament,Hebrew,noun location,a mountain of Jerusalem,,154
H6727,צִּיחָא צִּחָא,Old Testament,Hebrew,noun proper,the name of two Nethinim,,3
H6728,צִּיִי,Old Testament,Hebrew,noun,i.e. nomad or wild beast,,6
H6729,צִּינוֹק,Old Testament,Hebrew,noun,the pillory,,1
H6730,צִּיעוֹר,Old Testament,Hebrew,noun location,a place in Israel,,1
H6731,צִּיצּ צִּץ,Old Testament,Hebrew,noun,also a flower (as bright-colored); a wing (as gleaming in the air),,15
H6732,צִּיצּ,Old Testament,Hebrew,noun location,a place in Israel,,1
H6733,צִּיצָּה,Old Testament,Hebrew,noun,a flower,,1
H6734,צִּיצִּת,Old Testament,Hebrew,noun,"i.e. a forelock of hair, a tassel",,4
H6735,צִּיר,Old Testament,Hebrew,noun,"hinge, messenger, pain, pang, sorrow.",,12
H6736,צִּיר,Old Testament,Hebrew,noun,(hence) an (idolatrous) image,,2
H6737,צָּיַר,Old Testament,Hebrew,verb,i.e. betake oneself,,1
H6738,צֵּל,Old Testament,Hebrew,noun,whether literal or figurative,,49
A6739,צְּלָא,Old Testament,Aramaic,verb,pray,,2
H6740,צָּלָה,Old Testament,Hebrew,verb,to roast,,3
H6741,צִּלָּה,Old Testament,Hebrew,noun proper,an antediluvian woman,,3
H6742,צְּלוּל,Old Testament,Hebrew,noun,a (round or flattened) cake,,1
H6743,צָּלַח צָּלֵַח,Old Testament,Hebrew,verb,"in various senses (literal or figurative, transitive or intransitive)",,65
A6744,צְּלַח,Old Testament,Aramaic,verb,prosper.,,4
H6745,צֵּלָחָה,Old Testament,Hebrew,noun,i.e. a platter,,1
H6746,צְּלוֹחִיתּ,Old Testament,Hebrew,noun,i.e. a vial or salt-cellar,,1
H6747,צַּלַּחַת,Old Testament,Hebrew,noun,(figuratively) the bosom,,1
H6748,צָּלִי,Old Testament,Hebrew,adjective,roasted,,3
H6749,צָּלַל,Old Testament,Hebrew,verb,i.e. settle by a waving motion,,1
H6750,צָּלַל,Old Testament,Hebrew,verb,"i.e. rattle together (as the ears in reddening with shame, or the teeth in chattering with fear)",,4
H6751,צָּלַל,Old Testament,Hebrew,verb,as twilight or an opaque object,,2
H6752,צֵּלֶל,Old Testament,Hebrew,noun,shade,,4
H6753,צְּלֶלפּוֹנִי,Old Testament,Hebrew,noun proper,an Israelitess,,1
H6754,צֶּלֶם,Old Testament,Hebrew,noun,"(hence) a representative figure, especially an idol",,17
A6755,צֶּלֶם צְּלֶם,Old Testament,Aramaic,noun,image.,,17
H6756,צַּלמוֹן,Old Testament,Hebrew,noun location,the name of a place in Israel and of an Israelite,,3
H6757,צַּלמָוֶת,Old Testament,Hebrew,noun,"i.e. the grave (figuratively, calamity)",,18
H6758,צַּלמוֹנָה,Old Testament,Hebrew,noun location,a place in the Desert,,2
H6759,צַּלמוּנָּע,Old Testament,Hebrew,noun proper,a Midianite,,12
H6760,צָּלַע,Old Testament,Hebrew,verb,to limp (as if one-sided),,4
H6761,צֶּלַע,Old Testament,Hebrew,noun,halt(-ing).,,3
H6762,צֶּלַע,Old Testament,Hebrew,noun location,a place in Israel,,2
H6763,צֵּלָע צַּלעָה,Old Testament,Hebrew,noun,"(hence) a side, literally (of a person) or figuratively (of an object or the sky, i.e. quarter); architecturally, a (especially floor or ceiling) timber or plank (single or collective, i.e. a flooring)",,41
H6764,צָּלָף,Old Testament,Hebrew,noun proper,an Israelite,,1
H6765,צְּלָפחָד,Old Testament,Hebrew,noun proper,an Israelite,,11
H6766,צֶּלצַּח,Old Testament,Hebrew,noun location,a place in Israel,,1
H6767,צְּלָצַל,Old Testament,Hebrew,noun,"locust, shadowing, spear.",,6
H6768,צֶּלֶק,Old Testament,Hebrew,noun proper,an Israelite,,2
H6769,צִּלְּתַי,Old Testament,Hebrew,noun proper,the name of two Israelites,,2
H6770,צָּמֵא,Old Testament,Hebrew,verb,suffer) thirst(-y).,,10
H6771,צָּמֵא,Old Testament,Hebrew,adjective,-y).,,9
H6772,צָּמָא,Old Testament,Hebrew,noun,thirst (literally or figuratively),,17
H6773,צִּמאָה,Old Testament,Hebrew,noun,of libidinousnes),,1
H6774,צִּמָּאוֹן,Old Testament,Hebrew,noun,i.e. desert,,3
H6775,צָּמַד,Old Testament,Hebrew,verb,"(figuratively) to serve, (mentally) contrive",,5
H6776,צֶּמֶד,Old Testament,Hebrew,noun,an acre (i.e. day's task for a yoke of cattle to plough),,15
H6777,צַּמָּה,Old Testament,Hebrew,noun,a veil,,4
H6778,צַּמּוּק,Old Testament,Hebrew,noun,a cake of dried grapes,,4
H6779,צָּמַח,Old Testament,Hebrew,verb,literal or figurative),,33
H6780,צֶּמַח,Old Testament,Hebrew,noun,"bud, that which (where) grew (upon), spring(-ing).",,12
H6781,צָּמִידּ צָּמִד,Old Testament,Hebrew,noun,covering.,,7
H6782,צַּמִּים,Old Testament,Hebrew,noun,a noose (as fastening); (figuratively) destruction,,2
H6783,צְּמִיתּוּת צְּמִתוּת,Old Testament,Hebrew,noun,"used only (adverbially) with prepositional prefix to extinction, i.e. perpetually",,2
H6784,צָּמַק,Old Testament,Hebrew,verb,to dry up,,1
H6785,צֶּמֶר,Old Testament,Hebrew,noun,wool,,16
H6786,צְּמָרִי,Old Testament,Hebrew,adjective,a Tsemarite or branch of the Canaanites,,2
H6787,צְּמָרַיִם,Old Testament,Hebrew,noun location,a place in Israel,,2
H6788,צַּמֶּרֶת,Old Testament,Hebrew,noun,i.e. foliage,,5
H6789,צָּמַת,Old Testament,Hebrew,verb,"cut off, destroy, vanish.",,15
H6790,צִּן,Old Testament,Hebrew,noun location,a part of the Desert,,10
H6791,צֵּן,Old Testament,Hebrew,noun,a thorn; (hence) a cactus-hedge,,2
H6792,צּוֹנֵא צּוֹנֶה,Old Testament,Hebrew,noun,a flock,,2
H6793,צִּנָּה,Old Testament,Hebrew,noun,"cold, hook, shield, target.",,22
H6794,צִּנּוּר,Old Testament,Hebrew,noun,water-spout.,,2
H6795,צָּנַח,Old Testament,Hebrew,verb,i.e. drive down,,3
H6796,צָּנִין צָּנִן,Old Testament,Hebrew,noun,a thorn,,2
H6797,צָּנִיף צָּנוֹף צָּנִיפָה,Old Testament,Hebrew,noun,"hood, mitre.",,6
H6798,צָּנַם,Old Testament,Hebrew,verb,to blast or shrink,,1
H6799,צְּנָן,Old Testament,Hebrew,noun location,a place near Israel,,1
H6800,צָּנַע,Old Testament,Hebrew,verb,lowly.,,2
H6801,צָּנַף,Old Testament,Hebrew,verb,i.e. roll or dress,,3
H6802,צְּנֵפָה,Old Testament,Hebrew,noun,a ball,,1
H6803,צִּנצֶּנֶת,Old Testament,Hebrew,noun,a vase (probably a vial tapering at the top),,1
H6804,צַּנתָּרָה,Old Testament,Hebrew,noun,a tube,,1
H6805,צָּעַד,Old Testament,Hebrew,verb,(upward) to mount; (along) to march,,8
H6806,צַּעַד,Old Testament,Hebrew,noun,step.,,14
H6807,צְּעָדָה,Old Testament,Hebrew,noun,ornament of the legs.,,3
H6808,צָּעָה,Old Testament,Hebrew,verb,"travelling, (cause to) wander(-er).",,5
H6809,צָּעִיף,Old Testament,Hebrew,noun,a veil,,3
H6810,צָּעִיר צָּעוֹר,Old Testament,Hebrew,adjective,(in value) ignoble,,24
H6811,צָּעִיר,Old Testament,Hebrew,noun location,a place in Idumaea,,1
H6812,צְּעִירָה,Old Testament,Hebrew,noun,i.e. juvenility,,1
H6813,צָּעַן,Old Testament,Hebrew,verb,i.e. to migrate,,1
H6814,צּוֹעַן,Old Testament,Hebrew,noun location,a place in Egypt,,7
H6815,צַּעֲנַנִּים צַּעֲנַיִם,Old Testament,Hebrew,noun location,a place in Israel,,3
H6816,צַּעצּוַּע,Old Testament,Hebrew,noun,sculpture,,1
H6817,צָּעַק,Old Testament,Hebrew,verb,"call together, cry (out), gather (selves) (together).",,55
H6818,צַּעֲקָה,Old Testament,Hebrew,noun,a shriek,,21
H6819,צָּעַר,Old Testament,Hebrew,verb,i.e. (figuratively) ignoble,,3
H6820,צּוֹעַר,Old Testament,Hebrew,noun location,a place East of the Jordan,,10
H6821,צָּפַד,Old Testament,Hebrew,verb,to adhere,,1
H6822,צָּפָה,Old Testament,Hebrew,verb,"(by implication) to observe, await",,38
H6823,צָּפָה,Old Testament,Hebrew,verb,transferring to action)],,48
H6824,צָּפָה,Old Testament,Hebrew,noun,an inundation (as covering),,1
H6825,צְּפוֹ צְּפִי,Old Testament,Hebrew,noun proper,an Idumaean,,3
H6826,צִּפּוּי,Old Testament,Hebrew,noun,overlaying.,,5
H6827,צְּפוֹן,Old Testament,Hebrew,noun proper,an Israelite,,1
H6828,צָּפוֹן צָּפוֹן,Old Testament,Hebrew,noun,used only of the north as a quarter (gloomy and unknown),,153
H6829,צָּפוֹן,Old Testament,Hebrew,noun location,a place in Israel,,1
H6830,צְּפוֹנִי,Old Testament,Hebrew,adjective,northern,,1
H6831,צְּפוֹנִי,Old Testament,Hebrew,adjective,or (collectively) descendants of Tsephon,,1
H6832,צְּפוַּע,Old Testament,Hebrew,noun,excrement (as protruded),,2
H6833,צִּפּוֹר צִּפּוֹר,Old Testament,Hebrew,noun,"fowl, sparrow.",,40
H6834,צִּפּוֹר,Old Testament,Hebrew,noun proper,a Moabite,,7
H6835,צַּפַּחַת,Old Testament,Hebrew,noun,a saucer (as flat),,7
H6836,צְּפִיָה,Old Testament,Hebrew,noun,watchfulness,,1
H6837,צִּפיוֹן,Old Testament,Hebrew,noun proper,an Israelite,,1
H6838,צַּפִּיחִת,Old Testament,Hebrew,noun,a flat thin cake,,1
H6839,צּוֹפִים,Old Testament,Hebrew,noun location,a place East of the Jordan,,1
H6840,צָּפִין,Old Testament,Hebrew,noun,a treasure (as hidden),,1
A6841,צְּפִיר,Old Testament,Aramaic,noun,a he-goat,,1
H6842,צָּפִיר,Old Testament,Hebrew,noun,a male goat (as prancing),,6
H6843,צְּפִירָה,Old Testament,Hebrew,noun,morning.,,3
H6844,צָּפִיתּ,Old Testament,Hebrew,noun,a sentry,,1
H6845,צָּפַן,Old Testament,Hebrew,verb,positively) to protect,,34
H6846,צְּפַניָה צְּפַניָהוּ,Old Testament,Hebrew,noun proper,the name of four Israelites,,10
H6847,צָּפנַת פַּענֵַח,Old Testament,Hebrew,noun proper,Joseph's Egyptian name,,1
H6848,צֶּפַע צִּפעוֹנִי,Old Testament,Hebrew,noun,i.e. hissing),,5
H6849,צְּפִעָה,Old Testament,Hebrew,noun,an outcast thing,,1
H6850,צָּפַף,Old Testament,Hebrew,verb,"peep, whisper.",,4
H6851,צַּפצָּפָה,Old Testament,Hebrew,noun,a willow (as growing in overflowed places),,1
H6852,צָּפַר,Old Testament,Hebrew,verb,i.e. return,,1
A6853,צְּפַר,Old Testament,Aramaic,noun,a bird,,4
H6854,צְּפַרדֵַּע,Old Testament,Hebrew,noun,i.e. frog,,13
H6855,צִּפּוֹרָה,Old Testament,Hebrew,noun proper,Moses' wife,,3
H6856,צִּפּוֹרֶן,Old Testament,Hebrew,noun,"also the point of a style (or pen, tipped with adamant)",,2
H6857,צְּפַת,Old Testament,Hebrew,noun location,a place in Israel,,1
H6858,צֶּפֶת,Old Testament,Hebrew,noun,a capital of a column,,1
H6859,צְּפָתָה,Old Testament,Hebrew,noun location,a place in Israel,,1
H6860,צִּקלַג צִּיקְלַג,Old Testament,Hebrew,noun location,a place in Israel,,15
H6861,צִּקלוֹן,Old Testament,Hebrew,noun,a sack (as tied at the mouth),,1
H6862,צַּר צָּר,Old Testament,Hebrew,adjective,also a pebble (as in H6864),,111
H6863,צֵּר,Old Testament,Hebrew,noun location,a place in Israel,,1
H6864,צּוֹר,Old Testament,Hebrew,noun,of use) a knife,,2
H6865,צּוֹר צּוֹר,Old Testament,Hebrew,noun location,a place in Israel,,42
H6866,צָּרַב,Old Testament,Hebrew,verb,to burn,,1
H6867,צָּרֶבֶת,Old Testament,Hebrew,adjective,inflammation.,,3
H6868,צְּרֵדָה צְּרֵדָתָה,Old Testament,Hebrew,noun location,a place in Israel,,2
H6869,צָּרָה,Old Testament,Hebrew,noun,"transitively, a female rival",,73
H6870,צְּרוּיָה,Old Testament,Hebrew,noun proper,an Israelitess,,26
H6871,צְּרוּעָה,Old Testament,Hebrew,noun proper,an Israelitess,,1
H6872,צְּרוֹר צְּרוֹר,Old Testament,Hebrew,noun,"X bendeth, bundle, least grain, small stone.",,10
H6873,צָּרַח,Old Testament,Hebrew,verb,"i.e. shrill), i.e. to whoop",,2
H6874,צְּרִי,Old Testament,Hebrew,noun proper,an Israelite,,1
H6875,צְּרִי צֳּרִי,Old Testament,Hebrew,noun,i.e. balsam,,6
H6876,צּוֹרִי,Old Testament,Hebrew,adjective,a Tsorite or inhabitant of Tsor (i.e. Syrian),,5
H6877,צְּרִיַח,Old Testament,Hebrew,noun,hold.,,4
H6878,צּוֹרֶך,Old Testament,Hebrew,noun,need,,1
H6879,צָּרַע,Old Testament,Hebrew,verb,i.e. (intransitive and figurative) to be stricken with leprosy,,20
H6880,צִּרעָה,Old Testament,Hebrew,noun,a wasp (as stinging),,3
H6881,צָּרעָה,Old Testament,Hebrew,noun location,a place in Israel,,10
H6882,צָּרעִי צָּרעָתִי,Old Testament,Hebrew,adjective,i.e. inhabitants of Tsorah,,3
H6883,צָּרַעַת,Old Testament,Hebrew,noun,leprosy,,35
H6884,צָּרַף,Old Testament,Hebrew,verb,i.e. refine (literally or figuratively),,34
H6885,צּוֹרְפִי,Old Testament,Hebrew,noun,an Israelite,,1
H6886,צָּרְפַת,Old Testament,Hebrew,noun location,a place in Israel,,3
H6887,צָּרַר,Old Testament,Hebrew,verb,"literally or figuratively, transitive or intransitive (as follows)",,52
H6888,צְּרֵרָה,Old Testament,Hebrew,noun location,Tsererah for Tseredah,,1
H6889,צֶּרֶת,Old Testament,Hebrew,noun proper,an Israelite,,1
H6890,צֶּרֶת הַשַּׁחַר,Old Testament,Hebrew,noun location,a place in Israel,,1
H6891,צָּרְתָן,Old Testament,Hebrew,noun location,a place in Israel,,3
H6892,קֵא קִיא,Old Testament,Hebrew,noun,vomit,,4
H6893,קָאַת,Old Testament,Hebrew,noun,probably the pelican (from vomiting),,5
H6894,קַב,Old Testament,Hebrew,noun,i.e. vessel used as a (dry) measure,,1
H6895,קָבַב,Old Testament,Hebrew,verb,i.e. (figuratively) to malign or execrate (i.e. stab with words),,8
H6896,קֵבָה,Old Testament,Hebrew,noun,the paunch (as a cavity) or first stomach of ruminants,,1
H6897,קוֹבָה,Old Testament,Hebrew,noun,the abdomen (as a cavity),,1
H6898,קוּבָּה,Old Testament,Hebrew,noun,a pavilion (as a domed cavity),,1
H6899,קִבּוּץ,Old Testament,Hebrew,noun,a throng,,1
H6900,קְבוּרָה קֶבוּרָה,Old Testament,Hebrew,noun,"burying place, grave, sepulchre.",,14
H6901,קָבַל,Old Testament,Hebrew,verb,i.e. take (literally or figuratively),,14
A6902,קְבַל,Old Testament,Aramaic,verb,take.,,3
A6903,קְבֵל קֳבֵל,Old Testament,Aramaic,preposition,"so as, since, hence",,29
H6904,קוֹבֶל,Old Testament,Hebrew,noun,a battering-ram,,2
H6905,קָבָל,Old Testament,Hebrew,verb,i.e. (adverbially) in front of,,1
H6906,קָבַע,Old Testament,Hebrew,verb,i.e. (figuratively) defraud,,6
H6907,קוּבַּעַת,Old Testament,Hebrew,noun,a goblet (as deep like a cover),,2
H6908,קָבַץ,Old Testament,Hebrew,verb,i.e. collect,,127
H6909,קַבצְּאֵל,Old Testament,Hebrew,noun location,a place in Israel,,3
H6910,קְבוּצָה,Old Testament,Hebrew,noun,a hoard,,1
H6911,קִבצַּיִם,Old Testament,Hebrew,noun location,a place in Israel,,1
H6912,קָבַר,Old Testament,Hebrew,verb,bury(-ier).,,132
H6913,קֶבֶר קִברָה,Old Testament,Hebrew,noun,a sepulchre,,68
H6914,קִברוֹת הַתּתַּאֲוָה,Old Testament,Hebrew,noun location,a place in the Desert,,5
H6915,קָדַד,Old Testament,Hebrew,verb,i.e. contract or bend the body (or neck) in deference,,15
H6916,קִדָּה,Old Testament,Hebrew,noun,cassia bark (as in shrivelled rolls),,2
H6917,קָדוּם,Old Testament,Hebrew,noun,a pristine hero,,1
H6918,קָדוֹשׁ קָדוֹשׁ,Old Testament,Hebrew,adjective,"a saint, a sanctuary",,119
H6919,קָדַח,Old Testament,Hebrew,verb,kindle,,5
H6920,קַדַּחַת,Old Testament,Hebrew,noun,i.e. febrile disease,,2
H6921,קָדִים קָדִם,Old Testament,Hebrew,noun,"eastward, for brevity the east wind)",,69
A6922,קַדִּישׁ,Old Testament,Aramaic,adjective,"a saint, a sanctuary",,13
H6923,קָדַם,Old Testament,Hebrew,verb,"(hence) to anticipate, hasten, meet (usually for help)",,26
H6924,קֶדֶם קֵדמָה,Old Testament,Hebrew,verb,"often used adverbially (before, anciently, eastward)",,87
A6925,קֳדָם קְדָם,Old Testament,Aramaic,preposition,"X from, X I (thought), X me, + of, X it pleased, presence.",,46
H6926,קִדמָה,Old Testament,Hebrew,noun,on the east or in front),,4
H6927,קַדמָה,Old Testament,Hebrew,noun,"antiquity, former (old) estate.",,6
A6928,קַדמָה,Old Testament,Aramaic,noun,ago.,,2
H6929,קֵדְמָה,Old Testament,Hebrew,noun proper,a son of Ishmael,,2
H6930,קַדמוֹן,Old Testament,Hebrew,adjective,eastern,,1
H6931,קַדמוֹנִי קַדמוֹנִי,Old Testament,Hebrew,adjective,"they that went before, east, (thing of) old.",,10
H6932,קְדֵמוֹת,Old Testament,Hebrew,noun location,a place in eastern Israel,,4
A6933,קַדמַי,Old Testament,Aramaic,adjective,first,,3
H6934,קַדמִיאֵל,Old Testament,Hebrew,noun proper,the name of three Israelites,,8
H6935,קַדמוֹנִי,Old Testament,Hebrew,adjective,"Kadmonite (collectively), the name of a tribe in Israel",,1
H6936,קָדקוֹד,Old Testament,Hebrew,noun,"pate, scalp, top of the head.",,11
H6937,קָדַר,Old Testament,Hebrew,verb,(by implication) to mourn (in sackcloth or sordid garments),,17
H6938,קֵדָר,Old Testament,Hebrew,noun proper,(collectively) Bedouin (as his descendants or representatives),,12
H6939,קִדרוֹן,Old Testament,Hebrew,noun location,a brook near Jerusalem,,11
H6940,קַדרוּת,Old Testament,Hebrew,noun,duskiness,,1
H6941,קְדוֹרַנִּיתּ,Old Testament,Hebrew,verb,in mourning weeds,,1
H6942,קָדַשׁ,Old Testament,Hebrew,verb,"make, pronounce or observe as) clean (ceremonially or morally)",శుభ్రంగా (ఆచారపరంగా లేదా నైతికంగా),175
H6943,קֶדֶשׁ,Old Testament,Hebrew,noun location,the name of four places in Israel,,12
H6944,קוֹדֶשׁ,Old Testament,Hebrew,noun,rarely) sanctity,,465
H6945,קָדֵשׁ,Old Testament,Hebrew,noun,i.e. (technically) a (male) devotee (by prostitution) to licentious idolatry,,6
H6946,קָדֵשׁ,Old Testament,Hebrew,noun location,a place in the Desert,,18
H6947,קָדֵשׁ בַּרנֵַע,Old Testament,Hebrew,noun location,a place in the Desert,,10
H6948,קְדֵשָׁה,Old Testament,Hebrew,noun,whore.,,5
H6949,קָהָה,Old Testament,Hebrew,verb,be blunt.,,4
H6950,קָהַל,Old Testament,Hebrew,verb,gather (selves) (together).,,39
H6951,קָהָל,Old Testament,Hebrew,noun,"company, congregation, multitude.",,123
H6952,קְהִלָּה,Old Testament,Hebrew,noun,congregation.,,2
H6953,קוֹהֶלֶת,Old Testament,Hebrew,noun,a (female) assembler (i.e. lecturer),,7
H6954,קְהֵלָתָה,Old Testament,Hebrew,noun location,a place in the Desert,,2
H6955,קְהָת,Old Testament,Hebrew,noun proper,an Israelite,,32
H6956,קֳהָתִי,Old Testament,Hebrew,adjective,a Kohathite (collectively) or descendants of Kehath,,15
H6957,קַו קָו,Old Testament,Hebrew,noun,"(figuratively) a rule; (also) a rim, a musical string or accord",,21
H6958,קוֹא קָיָה,Old Testament,Hebrew,verb,"vomit (out, up, up again).",,8
H6959,קוֹבַע,Old Testament,Hebrew,noun,a helmet,,2
H6960,קָוָה,Old Testament,Hebrew,verb,(figuratively) to expect,,49
H6961,קָוֶה,Old Testament,Hebrew,noun,a (measuring) cord (as if for binding),,3
H6962,קוּט,Old Testament,Hebrew,verb,i.e. (figuratively) detest,,8
H6963,קוֹל,Old Testament,Hebrew,noun,"bleating, crackling, cry (+ out), fame, lightness, lowing, noise, + hold peace, (pro-)claim, proclamation, + sing, sound, + spark, thunder(-ing), voice, + yell.",,507
H6964,קוֹלָיָה,Old Testament,Hebrew,noun proper,the name of two Israelites,,2
H6965,קוּם,Old Testament,Hebrew,verb,"literal, figurative, intensive and causative)",,626
A6966,קוּם,Old Testament,Aramaic,verb,"establish, make, raise up self, (a-)rise (up), (make to) stand, set (up)",,36
H6967,קוֹמָה,Old Testament,Hebrew,noun,"height, high, stature, tall.",,46
H6968,קוֹמְמִיוּת,Old Testament,Hebrew,noun,elevation; (adverbially) standing uprightly; (figuratively) upright,,1
H6969,קוּן,Old Testament,Hebrew,verb,i.e. chant or wail (at a funeral),,8
H6970,קוַֹע,Old Testament,Hebrew,noun location,a region of Babylon,,1
H6971,קוֹף קוֹף,Old Testament,Hebrew,noun,a monkey,,2
H6972,קוּץ,Old Testament,Hebrew,verb,to clip off; used only as denominative from H7019],,1
H6973,קוּץ,Old Testament,Hebrew,verb,make) disgusted or anxious,,9
H6974,קוּץ,Old Testament,Hebrew,verb,"(be) (a-)wake, watch.",,23
H6975,קוֹץ קוֹץ,Old Testament,Hebrew,noun,a thorn,,12
H6976,קוֹץ,Old Testament,Hebrew,noun proper,the name of two Israelites,,6
H6977,קְווּצָּה,Old Testament,Hebrew,noun,a forelock (as shorn),,2
H6978,קַו ־ קַו,Old Testament,Hebrew,noun,stalwart,,4
H6979,קוּר,Old Testament,Hebrew,verb,denominative from H7023) to wall up,,6
H6980,קוּר,Old Testament,Hebrew,noun,i.e. a web (as if so formed),,2
H6981,קוֹרֵא קוֹרֵא,Old Testament,Hebrew,noun proper,the name of two Israelites,,3
H6982,קוֹרָה קוֹרָה,Old Testament,Hebrew,noun,roof.,,5
H6983,קוֹשׁ,Old Testament,Hebrew,verb,to set a trap,,1
H6984,קוּשָׁיָהוּ,Old Testament,Hebrew,noun proper,an Israelite,,1
H6985,קַט,Old Testament,Hebrew,adjective,i.e. (adverbially) merely,,1
H6986,קֶטֶב,Old Testament,Hebrew,noun,destruction.,,3
H6987,קוֹטֶב,Old Testament,Hebrew,noun,extermination,,1
H6988,קְטוֹרָה,Old Testament,Hebrew,noun,perfume,,1
H6989,קְטוּרָה,Old Testament,Hebrew,noun proper,a wife of Abraham,,4
H6990,קָטַט,Old Testament,Hebrew,verb,i.e. (figuratively) destroy,,1
H6991,קָטַל,Old Testament,Hebrew,verb,i.e. (figuratively) put to death,,3
A6992,קְטַל,Old Testament,Aramaic,verb,to kill,,7
H6993,קֶטֶל,Old Testament,Hebrew,noun,a violent death,,1
H6994,קָטוֹן,Old Testament,Hebrew,verb,"i.e. be (causatively, make) diminutive or (figuratively) of no account",,4
H6995,קוֹטֶן,Old Testament,Hebrew,noun,i.e. the little finger,,2
