Strong's Number,Original Word,English Meaning,Telugu Word,Telugu Meaning,Language,Testament
H5703,עַד,"(properly) a (peremptory) terminus",అద్,శాశ్వతం,Hebrew,Old Testament
H5704,עַד,"`ad (ad) prep.",,వరకు,Hebrew,Old Testament
H5705,עַד,"`ad (ad) prep.",,వరకు,Hebrew,Old Testament
H5706,עַד,"booty",,వరకు,Hebrew,Old Testament
H5707,עֵד,"concretely",,కాంక్రీటుగా,Hebrew,Old Testament
H5708,עֵד,"the menstrual flux (as periodical)",,ఋతుస్రావం క్రమానుగతంగా,Hebrew,Old Testament
H5709,עֲדָא עֲדָה,"`ada' (ad-aw') ((Aramaic) or adah (Aramaic) ad-aw') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5710,עָדָה,"`adah (aw-daw') v.",,అలంకరించు,Hebrew,Old Testament
H5711,עָדָה,"`Adah (aw-daw') n/p.",,అదా,Hebrew,Old Testament
H5712,עֵדָה,"a stated assemblage",,పేర్కొనబడిన సమావేశం,Hebrew,Old Testament
H5713,עֵדָה,"testimony",,సాక్ష్యం,Hebrew,Old Testament
H5714,עִדּוֹ עִדּוֹא עִדִּיא,"`Iddow (id-do') (or iIddowo id-do' or tIddiy id-dee'",,ఇద్దో,Hebrew,Old Testament
H5715,עֵדוּת,"testimony",,సాక్ష్యం,Hebrew,Old Testament
H5716,עֲדִי,"finery",,అలంకరణ,Hebrew,Old Testament
H5717,עֲדִיאֵל,"`Adiy'el (ad-ee-ale') n/p.",,అదీయేలు,Hebrew,Old Testament
H5718,עֲדָיָה עֲדָיָהוּ,"`Adayah (ad-aw-yaw') (or mAdayahuw ad-aw-yaw'-hoo) n/p.",,దినము,Hebrew,Old Testament
H5719,עָדִין,"`adiyn (aw-deen') adj.",,మెత్తనైన,Hebrew,Old Testament
H5720,עָדִין,"`Adiyn (aw-deen') n/p.",,అదీను,Hebrew,Old Testament
H5721,עֲדִינָא,"`Adiyna' (ad-ee-naw') n/p.",,అదీనా,Hebrew,Old Testament
H5722,עֲדִינוֹ,"`adiynow (ad-ee-no') n/p.",,అదీనో,Hebrew,Old Testament
H5723,עֲדִיתַּיִם,"`Adiythayim (ad-ee-thah'-yim) n/l.",,అదీతయిమ్,Hebrew,Old Testament
H5724,עַדלַי,"`Adlay (ad-lah'-ee) n/p.",,అద్లయి,Hebrew,Old Testament
H5725,עֲדוּלָּם,"`Adullam (ad-ool-lawm') n/l.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H5726,עֲדוּלָּמִי,"`Adullamiy (ad-ool-law-mee') adj.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H5727,עָדַן,"`adan (aw-dan') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5728,עֲדֶן עֲדֶנָּה,"`aden (ad-en') (or radennah ad-en'-naw) adv.",,అప్పటివరకు,Hebrew,Old Testament
H5729,עֶדֶן,"`Eden (eh'-den) n/l.",,ఏదెను,Hebrew,Old Testament
H5730,עֵדֶן עֶדנָה,"`eden (ay'-den) (or (feminine) aednah ed-naw') n-e.",,తొమ్మిది,Hebrew,Old Testament
H5731,עֵדֶן,"`Eden (ay'-den) n/p.",,ఏదెను,Hebrew,Old Testament
H5732,עִדָּן,"a set time",,నిర్ణీత సమయం,Hebrew,Old Testament
H5733,עַדנָא,"`Adna' (ad-naw') n/p.",,అద్నా,Hebrew,Old Testament
H5734,עַדנָה,"`Adnah (ad-naw') n/p.",,అద్నా,Hebrew,Old Testament
H5735,עֲדעָדָה,"`Ad`adah (ad-aw-daw') n/l.",,అద్‌అదా,Hebrew,Old Testament
H5736,עָדַף,"`adaph (aw-daf') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5737,עָדַר,"`adar (aw-dar') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5738,עֶדֶר,"`Eder (eh'-der) n/p.",,ఏదెరు,Hebrew,Old Testament
H5739,עֵדֶר,"an arrangement",,మద,Hebrew,Old Testament
H5740,עֵדֶר,"`Eder (ay'-der) n/l.",,మంద,Hebrew,Old Testament
H5741,עַדרִיאֵל,"`Adriy'el (ad-ree-ale') n/p.",,అద్రియేలు,Hebrew,Old Testament
H5742,עָדָשׁ,"a lentil",,కందిపప్పు,Hebrew,Old Testament
H5743,עוּב,"`uwb (oob) v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5744,עוֹבֵד,"`Owbed (o-bade') n/p.",,ఓబేదు,Hebrew,Old Testament
H5745,עוֹבָל,"`Owbal (o-bawl') n/p.",,ఓబాలు,Hebrew,Old Testament
H5746,עוּג,"`uwg (oog) v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5747,עוֹג,"`Owg (ogue) n/p.",,ఓగు,Hebrew,Old Testament
H5748,עוּגָב עוּגָּב,"a reed-instrument of music",,అర్థం తెలియదు,Hebrew,Old Testament
H5749,עוּד,"`uwd (ood) v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5750,עוֹד עוֹד,"`owd (ode) (or rod ode) adv.",ఓద్,ఇంకా,Hebrew,Old Testament
H5751,עוֹד,"`owd (ode) adv.",,ఇంకా,Hebrew,Old Testament
H5752,עוֹדֵד עוֹדֵד,"`Owded (o-dade') (or mOded o-dade') n/p.",,ఓదేదు,Hebrew,Old Testament
H5753,עָוָה,"`avah (aw-vaw') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5754,עַוָּה,"overthrow",,పడద్రోయు,Hebrew,Old Testament
H5755,עִוָּה עַוָּא,"`Ivvah (iv-vaw') (or eAvvae (2 Kings 17) n/l.",,రాజు,Hebrew,Old Testament
H5756,עוּז,"`uwz (ooz) v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5757,עַוִּי,"`Avviy (av-vee') adj.",,అవ్వి,Hebrew,Old Testament
H5758,עִויָא,"perverseness",,మూర్ఖత్వం,Hebrew,Old Testament
H5759,עֲוִיל,"a babe",,పసిపిల్ల,Hebrew,Old Testament
H5760,עֲוִיל,"perverse (morally)",,దుర్మార్గుడు,Hebrew,Old Testament
H5761,עַוִּים,"`Avviym (av-veem') n/p.",,అవ్వియులు,Hebrew,Old Testament
H5762,עֲוִיתּ עַיּוֹת עַיוּת,"`Aviyth (av-veeth') (or (perhaps Ayowth ah-yoth'",,అవిత్తు,Hebrew,Old Testament
H5763,עוּל,"`uwl (ool) v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5764,עוּל,"a babe",,పసిపిల్ల,Hebrew,Old Testament
H5765,עָוַל,"`aval (aw-val') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5766,עֶוֶל עָוֶל עַולָה עוֹלָה עוֹלָה,"`evel (eh'-vel) (or lavel aw'-veland (feminine) lavlah av-law'",,భూమి,Hebrew,Old Testament
H5767,עַוָּל,"evil (morally)",,దుష్టత్వం,Hebrew,Old Testament
H5768,עוֹלֵל עוֹלָל,"a suckling",,పాలుతాగే పిల్ల,Hebrew,Old Testament
H5769,עוֹלָם עוֹלָם,"(properly) concealed",ఓలామ్,శాశ్వతం,Hebrew,Old Testament
H5770,עָוַן,"`avan (aw-van') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5771,עָווֹן עָווֹן,"perversity",ఆవోన్,దోషం,Hebrew,Old Testament
H5772,עוֹנָה,"sexual (cohabitation)",,లైంగిక కలయిక,Hebrew,Old Testament
H5773,עַועֶה,"perversity",,వక్రత్వం,Hebrew,Old Testament
H5774,עוּף,"עוף",,ఎగురు,Hebrew,Old Testament
H5775,עוֹף,"a bird (as covered with feathers",,పక్షి,Hebrew,Old Testament
H5776,עוֹף,"fowl",,పక్షి,Hebrew,Old Testament
H5777,עוֹפֶרֶת עוֹפֶרֶת,"lead (from its dusty color)",,సీసము,Hebrew,Old Testament
H5778,עוֹפַי,"`Owphay (o-fah'-ee) n/p.",,ఓపై,Hebrew,Old Testament
H5779,עוּץ,"`uwts (oots) v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5780,עוּץ,"`Uwts (oots) n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H5781,עוּק,"`uwq (ook) v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5782,עוּר,"`uwr (oor) v.",,మేల్కొను,Hebrew,Old Testament
H5783,עוּר,"`uwr (oor) v.",,మేల్కొను,Hebrew,Old Testament
H5784,עוּר,"chaff",,మేల్కొను,Hebrew,Old Testament
H5785,עוֹר,"skin (as naked)",,చర్మము,Hebrew,Old Testament
H5786,עָוַר,"`avar (aw-var') v.",,దాటు,Hebrew,Old Testament
H5787,עִוֵּר,"`ivver (iv-vare') adj.",,వక్రమైన,Hebrew,Old Testament
H5788,עִוָּרוֹן עַוֶּרֶת,"blindness",,గుడ్డితనం,Hebrew,Old Testament
H5789,עוּשׁ,"`uwsh (oosh) v.",,త్వరపడు,Hebrew,Old Testament
H5790,עוּת,"`uwth (ooth) v.",,వంగడం,Hebrew,Old Testament
H5791,עָוַת,"`avath (aw-vath') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5792,עַוָּתָה,"oppression",,పీడన,Hebrew,Old Testament
H5793,עוּתַי,"`Uwthay (oo-thah'-ee) n/p.",,ఉతయి,Hebrew,Old Testament
H5794,עַז,"`az (az) adj.",,అప్పుడు,Hebrew,Old Testament
H5795,עֵז,"a she-goat (as strong)",,బలమైన,Hebrew,Old Testament
H5796,עֵז,"goat",,మేక,Hebrew,Old Testament
H5797,עוֹז עוֹז,"strength in various applications (force",,బలమ,Hebrew,Old Testament
H5798,עוּזָּא עוּזָּה,"`Uzza' (ooz-zaw') (or (Uzzah ooz-zaw') n/l.",,ఉజ్జా,Hebrew,Old Testament
H5799,עֲזָאזֵל,"goat of departure",,మేక,Hebrew,Old Testament
H5800,עָזַב,"`azab (aw-zab') v.",ఆజబ్,విడిచిపెట్టు,Hebrew,Old Testament
H5801,עִזָּבוֹן,"trade",,వర్తకం,Hebrew,Old Testament
H5802,עַזבּוּק,"`Azbuwq (az-book') n/p.",,అజ్బూక్,Hebrew,Old Testament
H5803,עַזגָּד,"`Azgad (az-gawd') n/p.",,అజ్గాద్,Hebrew,Old Testament
H5804,עַזָּה,"strong",,బలమైన,Hebrew,Old Testament
H5805,עֲזוּבָה,"desertion (of inhabitants)",,ఎడారి,Hebrew,Old Testament
H5806,עֲזוּבָה,"`Azuwbah (az-oo-baw') n/p.",,అజుబా,Hebrew,Old Testament
H5807,עֱזוּז,"forcibleness",,బలవంతము,Hebrew,Old Testament
H5808,עִזּוּז,"`izzuwz (iz-zooz') adj.",,బలమైన,Hebrew,Old Testament
H5809,עַזּוּר עַזּוּר,"`Azzuwr (az-zoor') (or mAzzur az-zoor') n/p.",,అజ్జూర్,Hebrew,Old Testament
H5810,עָזַז,"`azaz (aw-zaz') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5811,עָזָז,"`Azaz (aw-zawz') n/p.",,అజాజ్,Hebrew,Old Testament
H5812,עֲזַזיָהוּ,"`Azazyahuw (az-az-yaw'-hoo) n/p.",,అజజ్యాహు,Hebrew,Old Testament
H5813,עוּזִּי,"`Uzziy (ooz-zee') n/p.",,ఉజ్జీ,Hebrew,Old Testament
H5814,עוּזִּיָא,"`Uzziya' (ooz-zee-yaw') n/p.",,ఉజ్జియా,Hebrew,Old Testament
H5815,עֲזִיאֵל,"`Aziy'el (az-ee-ale') n/p.",,అజీయేల్,Hebrew,Old Testament
H5816,עוּזִּיאֵל,"`Uzziy'el (ooz-zee-ale') n/p.",,ఉజ్జీయేల్,Hebrew,Old Testament
H5817,עָזִּיאֵלִי,"`Ozziy'eliy (oz-zee-ay-lee') adj.",,ఉజ్జీయేలీయు,Hebrew,Old Testament
H5818,עוּזִּיָה עוּזִּיָהוּ,"`Uzziyah (ooz-zee-yaw') (or Uzziyahuw ooz-zee-yaw'-hoo) n/p.",,ఉజ్జియాహు,Hebrew,Old Testament
H5819,עֲזִיזָא,"`Aziyza' (az-ee-zaw') n/p.",,అజీజా,Hebrew,Old Testament
H5820,עַזמָוֶת,"`Azmaveth (az-maw'-veth) n/l.",,అజ్మావెత్,Hebrew,Old Testament
H5821,עַזָּן,"`Azzan (az-zawn') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H5822,עָזנִיָה,"probably the sea-eagle (from its strength)",,సముద్రం,Hebrew,Old Testament
H5823,עָזַק,"`azaq (aw-zak') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5824,עִזקָא,"a signet-ring (as engraved)",,చెక్కబడిన ముద్ర ఉంగరం,Hebrew,Old Testament
H5825,עֲזֵקָה,"`Azeqah (az-ay-kaw') n/l.",,అజేకా,Hebrew,Old Testament
H5826,עָזַר,"`azar (aw-zar') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5827,עֶזֶר,"`Ezer (eh'-zer) n/p.",,ఎజెర్,Hebrew,Old Testament
H5828,עֵזֶר,"aid",,సహాయం,Hebrew,Old Testament
H5829,עֵזֶר,"`Ezer (ay'-zer) n/p.",,ఎజెర్,Hebrew,Old Testament
H5830,עֶזרָא,"`Ezra' (ez-raw') n/p.",,ఎజ్రా,Hebrew,Old Testament
H5831,עֶזרָא,"`Ezra' (ez-raw') n/p.",,ఎజ్రా,Hebrew,Old Testament
H5832,עֲזַראֵל,"`Azar'el (az-ar-ale') n/p.",,అజారెల్,Hebrew,Old Testament
H5833,עֶזרָה עֶזרָת,"aid",,సహాయం,Hebrew,Old Testament
H5834,עֶזרָה,"`Ezrah (ez-raw') n/p.",,ఎజ్రా,Hebrew,Old Testament
H5835,עֲזָרָה,"an inclosure",,ఒక కంచె,Hebrew,Old Testament
H5836,עֶזרִי,"`Ezriy (ez-ree') n/p.",,ఎజ్రీ,Hebrew,Old Testament
H5837,עַזרִיאֵל,"`Azriy'el (az-ree-ale') n/p.",,అజ్రియేల్,Hebrew,Old Testament
H5838,עֲזַריָה עֲזַריָהוּ,"`Azaryah (az-ar-yaw') (or mAzaryahuw az-ar-yaw'-hoo) n/p.",,అజర్యా,Hebrew,Old Testament
H5839,עֲזַריָה,"`Azaryah (az-ar-yaw') n/p.",,అజర్యా,Hebrew,Old Testament
H5840,עַזרִיקָם,"`Azriyqam (az-ree-kawm') n/p.",,అజ్రీకామ్,Hebrew,Old Testament
H5841,עַזָּתִי,"`Azzathiy (az-zaw-thee') adj.",,అజ్జతియ్,Hebrew,Old Testament
H5842,עֵט,"a stylus or marking stick",,రాజు,Hebrew,Old Testament
H5843,עֵטָא,"prudence",,వివేకం,Hebrew,Old Testament
H5844,עָטָה,"`atah (aw-taw') v.",ఆతా,కప్పు,Hebrew,Old Testament
H5845,עֲטִין,"a receptacle (for milk",,పాలు,Hebrew,Old Testament
H5846,עֲטִישָׁה,"sneezing",,తుమ్ములు,Hebrew,Old Testament
H5847,עֲטַלֵּף,"a bat",,గబ్బిలం,Hebrew,Old Testament
H5848,עָטַף,"`ataph (aw-taf') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5849,עָטַר,"`atar (aw-tar') v.",,అలంకరించు,Hebrew,Old Testament
H5850,עֲטָרָה,"a crown",,కిరీటం,Hebrew,Old Testament
H5851,עֲטָרָה,"`Atarah (at-aw-raw') n/p.",,కిరీటము,Hebrew,Old Testament
H5852,עֲטָרוֹת עֲטָרוֹת,"`Atarowth (at-aw-roth') (or Ataroth at-aw-roth') n/l.",,అటారోత్,Hebrew,Old Testament
H5853,עַטרוֹת אַדָּר,"`Atrowth 'Addar (at-roth' ad-dawr') n/l.",,అత్రోత్ అద్దార్,Hebrew,Old Testament
H5854,עַטרוֹת בֵּיתּ יוֹאָב,"`Atrowth beyth Yow'ab (at-roth' bayth yo-awb') n/l.",,అత్రోత్ బేత్ యోవాబ్,Hebrew,Old Testament
H5855,עַטרוֹת שׁוֹפָן,"`Atrowth Showphan (at-roth' sho-fawn') n/l.",,అత్రోత్ షోఫాన్,Hebrew,Old Testament
H5856,עִי,"a ruin (as if overturned)",,తిరగబడిన ఒక వినాశనం,Hebrew,Old Testament
H5857,עַי עַיָא עַיָת,"`Ay (ah'ee) (or (feminine) uAya( (Neh. 11) n/l.",,తొమ్మిది,Hebrew,Old Testament
H5858,עֵיבָּל,"`Eybal (ay-bawl') n/l.",,ఏబాలు,Hebrew,Old Testament
H5859,עִיוֹן,"`Iyown (ee-yone') n/l.",,ఒకటి,Hebrew,Old Testament
H5860,עִיטּ,"`iyt (eet) v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5861,עַיִט,"a hawk or other bird of prey",,పక్షి,Hebrew,Old Testament
H5862,עֵיטָּם,"`Eytam (ay-tawm') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H5863,עִיֵי הָעֲבָרִים,"`Iyey ha-`Abariym (ee-yay' haw-ab-aw-reem') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H5864,עִיִים,"`Iyiym (ee-yeem') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H5865,עֵילוֹם,"ever",,ఎవర్,Hebrew,Old Testament
H5866,עִילַי,"`Iylay (ee-lah'-ee) n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H5867,עֵילָם עוֹלָם,"`Eylam (ay-lawm') (or mOwlam (Ezra 10) n/l.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H5868,עֲיָם,"probably meaning strength",,బహుశా బలం అని అర్థం,Hebrew,Old Testament
H5869,עַיִן,"`ayin (ah'-yin) n-e.",ఆయిన్,కన్ను,Hebrew,Old Testament
H5870,עַיִן,"an eye",,కన్ను,Hebrew,Old Testament
H5871,עַיִן,"`Ayin (ah'-yin) n/l.",,కన్ను,Hebrew,Old Testament
H5872,עֵין גֶּדִי,"`Eyn Gediy (ane geh'-dee) n/l.",,ఏన్ గెదీ,Hebrew,Old Testament
H5873,עֵין גַּנִּים,"`Eyn Ganniym (ane gan-neem') n/l.",,ఏన్ గన్నీమ్,Hebrew,Old Testament
H5874,עֵין ־ דּאוֹר עֵין דּוֹר עֵין ־ דּוֹר,"`Eyn-Do'r",,ఏన్-దోర్,Hebrew,Old Testament
H5875,עֵין הַקּוֹרֵא,"`Eyn haq-Qowre' (ane-hak-ko-ray') n/l.",,ఏన్ హాక్-కోరే,Hebrew,Old Testament
H5876,עֵין חַדָּה,"`Eyn Chaddah (ane khad-daw') n/l.",,ఏన్ చద్దా,Hebrew,Old Testament
H5877,עֵין חָצוֹר,"`Eyn Chatsowr (ane khaw-tsore') n/l.",,ఏన్ హట్సోర్,Hebrew,Old Testament
H5878,עֵין חֲרוֹד,"`Eyn Charod (ane khar-ode') n/l.",,ఏన్ చరోడ్,Hebrew,Old Testament
H5879,עֵינַיִם עֵינָם,"`Eynayim (ay-nah'-yim) (or mEynam ay-nawm') n/l.",,ఏనాయిమ్,Hebrew,Old Testament
H5880,עֵין מִשׁפָּט,"`Eyn Mishpat (ane mish-pawt') n/l.",,ఏన్ మిష్పాట్,Hebrew,Old Testament
H5881,עֵינָן,"`Eynan (ay-nawn') n/p.",,ఏనాన్,Hebrew,Old Testament
H5882,עֵין עֶגלַיִם,"`Eyn `Eglayim (ane eg-lah'-yim) n/l.",,ఏన్ ఎగ్లాయిమ్,Hebrew,Old Testament
H5883,עֵין רוֹגֵל,"`Eyn Rogel (ane ro-gale') n/l.",,ఏన్ రోగెల్,Hebrew,Old Testament
H5884,עֵין רִמּוֹן,"`Eyn Rimmown (ane rim-mone') n/l.",,ఒకటి,Hebrew,Old Testament
H5885,עֵין שֶׁמֶשׁ,"`Eyn Shemesh (ane sheh'-mesh) n/l.",,ఏన్ షెమెష్,Hebrew,Old Testament
H5886,עֵין תַּנִּים,"`Eyn Tanniym (ane tan-neem') n/l.",,ఏన్ టన్నీమ్,Hebrew,Old Testament
H5887,עֵין תַּפּוַּח,"`Eyn Tappuwach (ane tap-poo'-akh) n/l.",,ఏన్ టప్పువాచ్,Hebrew,Old Testament
H5888,עָיֵף,"`ayeph (aw-yafe') v.",,అలసిపోవు,Hebrew,Old Testament
H5889,עָיֵף,"`ayeph (aw-yafe') adj.",,అలసిపోవు,Hebrew,Old Testament
H5890,עֵיפָה,"obscurity (as if from covering)",,కప్పి ఉంచడం వలన అస్పష్టత,Hebrew,Old Testament
H5891,עֵיפָה,"`Eyphah (ay-faw') n/p.",,ఏఫా,Hebrew,Old Testament
H5892,עִיר עָר עָיַר,"a city (a place guarded by waking or a watch) in the widest sense (even of a mere encampment or post...",,రాజు,Hebrew,Old Testament
H5893,עִיר,"`Iyr (eer) n/p.",,పట్టణము,Hebrew,Old Testament
H5894,עִיר,"a watcher",,పట్టణము,Hebrew,Old Testament
H5895,עַיִר,"(properly) a young donkey (as just broken to a load)",,గాడిద,Hebrew,Old Testament
H5896,עִירָא,"`Iyra' (ee-raw') n/p.",,ఈరా,Hebrew,Old Testament
H5897,עִירָד,"`Iyrad (ee-rawd') n/p.",,ఈరాద్,Hebrew,Old Testament
H5898,עִיר הַמֶּלַח,"`Iyr ham-Melach (eer ham-meh'-lakh) n/l.",,ఇర్ హమ్-మెలాఖ్,Hebrew,Old Testament
H5899,עִיר הַתּתְּמָרִים,"`Iyr hat-Tmariym (eer hat-tem-aw-reem') n/l.",,ఇర్ హాట్-టమారీమ్,Hebrew,Old Testament
H5900,עִירוּ,"`Iyruw (ee-roo') n/p.",,ఈరూ,Hebrew,Old Testament
H5901,עִירִי,"`Iyriy (ee-ree') n/p.",,ఈరియ్,Hebrew,Old Testament
H5902,עִירָם,"Iyram (ee-rawm') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H5903,עֵירוֹם עֵרוֹם,"`eyrom (ay-rome') (or merom ay-rome') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H5904,עִיר נָחָשׁ,"`Iyr Nachash (eer naw-khawsh') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H5905,עִיר שֶׁמֶשׁ,"`Iyr Shemesh (eer sheh'-mesh) n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H5906,עַיִשׁ עָשׁ,"the constellation of the Great Bear (perhaps from its migration through the heavens)",,పరలోకం,Hebrew,Old Testament
H5907,עַכבּוֹר,"`Akbowr (ak-bore') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H5908,עַכָּבִישׁ,"a spider (as weaving a network)",,రెండు,Hebrew,Old Testament
H5909,עַכבָּר,"a mouse (as nibbling)",,కొరుకుతున్న ఎలుక,Hebrew,Old Testament
H5910,עַכּוֹ,"`Akkow (ak-ko') n/l.",,అర్థం తెలియదు,Hebrew,Old Testament
H5911,עָכוֹר,"troubled",,బాధపడ్డాడు,Hebrew,Old Testament
H5912,עָכָן,"`Akan (aw-kawn') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H5913,עָכַס,"`akac (aw-kas') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5914,עֶכֶס,"a fetter",,సంకెళ్ళు,Hebrew,Old Testament
H5915,עַכסָה,"`Akcah (ak-saw') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H5916,עָכַר,"`akar (aw-kar') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5917,עָכָר,"`Akar (aw-kawr') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H5918,עָכרָן,"`Okran (ok-rawn') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H5919,עַכשׁוּב,"an asp (from lurking coiled up)",,రాజు,Hebrew,Old Testament
H5920,עַל,"`al (al) adv.",,మీద,Hebrew,Old Testament
H5921,עַל,"`al (al) prep.",అల్,మీద,Hebrew,Old Testament
H5922,עַל,"`al (al) prep.",,మీద,Hebrew,Old Testament
H5923,עוֹל עוֹל,"a yoke (as imposed on the neck)",,మెడకు వేసే కాడి,Hebrew,Old Testament
H5924,עֵלָּא,"`ella' (ale-law') adv.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H5925,עוּלָּא,"`Ulla' (ool-law') n/p.",,ధర్మశాస్త్రం,Hebrew,Old Testament
H5926,עִלֵּג,"`illeg (il-layg') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H5927,עָלָה,"`alah (aw-law') v.",ఆలా,ఎక్కు,Hebrew,Old Testament
H5928,עֲלָה,"a holocaust",,పూర్తిగా దహనమైన బలి,Hebrew,Old Testament
H5929,עָלֶה,"a leaf (as coming up on a tree)",,చెట్టు,Hebrew,Old Testament
H5930,עוֹלָה עוֹלָה,"a step or (collectively",ఓలా,దహనబలి,Hebrew,Old Testament
H5931,עִלָּה,"a pretext (as arising artificially)",,పాపం,Hebrew,Old Testament
H5932,עַלוָה,"moral perverseness",,నైతిక వైకల్యం,Hebrew,Old Testament
H5933,עַלוָה עַליָה,"`Alvah (al-vaw') (or Alyah al-yaw') n/p.",,అర్థం తెలియదు,Hebrew,Old Testament
H5934,עָלוּם,"(only in plural as abstract) adolescence",,బహువచనంలో మాత్రమే యుక్తవయస్సుగా సంగ్రహించండి,Hebrew,Old Testament
H5935,עַלוָן עַליָן,"`Alvan (al-vawn') (or sAlyan al-yawn') n/p.",,అల్వాను,Hebrew,Old Testament
H5936,עֲלוּקָה,"the leech",,జలగ,Hebrew,Old Testament
H5937,עָלַז,"`alaz (aw-laz') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5938,עָלֵז,"`alez (aw-laze') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H5939,עֲלָטָה,"dusk",,సంధ్యా సమయం,Hebrew,Old Testament
H5940,עֱלִי,"a pestle (as lifted)",,రోకలి,Hebrew,Old Testament
H5941,עֵלִי,"`Eliy (ay-lee') n/p.",,ఏలీ,Hebrew,Old Testament
H5942,עִלִּי,"`illiy (il-lee') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H5943,עִלַּי,"`illay (il-lah'-ee) adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H5944,עֲלִיָה,"something lofty",,ఉన్నతమైనది,Hebrew,Old Testament
H5945,עֶליוֹן,"elyown (el-yone') adj.",ఎల్యోన్,సర్వోన్నతుడు,Hebrew,Old Testament
H5946,עֶליוֹן,"`elyown (el-yone') adj.",,ఒకటి,Hebrew,Old Testament
H5947,עַלִּיז,"`alliyz (al-leez') adj.",,అర్థం తెలియదు,Hebrew,Old Testament
H5948,עֲלִיל,"probably a crucible (as working over the metal)",,రాజు,Hebrew,Old Testament
H5949,עֲלִילָה עֲלִלָה,"an exploit (of God)",,దేవుడు,Hebrew,Old Testament
H5950,עֲלִילִיָה,"(miraculous) execution",,అద్భుతమైన ఉరి,Hebrew,Old Testament
H5951,עֲלִיצּוּת,"exultation",,ఆనందం,Hebrew,Old Testament
H5952,עַלִּיתּ,"a second-story room",,రెండో అంతస్తు గది,Hebrew,Old Testament
H5953,עָלַל,"`alal (aw-lal') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5954,עֲלַל,"`alal (al-al') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5955,עוֹלֵלָה,"only in plural gleanings",,ఏరుకోవడం మాత్రమే బహువచనంలో,Hebrew,Old Testament
H5956,עָלַם,"`alam (aw-lam') v.",,అర్థం తెలియదు,Hebrew,Old Testament
H5957,עָלַם,"remote time",,సుదూర కాలం,Hebrew,Old Testament
H5958,עֶלֶם,"(properly) something kept out of sight",,సరిగ్గా కంటికి కనిపించకుండా ఉంచబడినది,Hebrew,Old Testament
H5959,עַלמָה,"a lass (as veiled or private)",,ముసుగు వేసుకున్న లేదా వ్యక్తిగతమైన ఒక చిన్నది,Hebrew,Old Testament
H5960,עַלמוֹן,"`Almown (al-mone') n/l.",,ఒకటి,Hebrew,Old Testament
H5961,עֲלָמוֹת,"(properly) girls",,సరిగ్గా అమ్మాయిలు,Hebrew,Old Testament
H5962,עַלמִי,"`Almiy (al-mee') n/g.",,అర్థం తెలియదు,Hebrew,Old Testament
