Original Word,Transliteration,Root,Telugu Meaning,English Meaning,Part of Speech,Strong's
"מִזְבֵּחַ","mizbeach","זָבַח","బలిపీఠము","altar","Noun","H4196"
"יָצָא","Yatsa","יָצָא","బయటకు వెళ్ళు","To go out","Verb","H3318"
"רָאָה","Ra'ah","רָאָה","చూచుట","To see","Verb","H7200"
"עָנָה","Anah","עָנָה","బలాత్కరించుట/బాధించుట","To humble/To rape/To afflict","Verb","H6031"
"דָּבַק","Dabaq","דָּבַק","హత్తుకొనుట","To cling/To stick to","Verb","H1692"
"נַעֲרָה","Na'arah","נַעַר","యవనరాలు/కన్య","Young girl/Maiden","Noun","H5291"
"טָמֵא","Tame","טָמֵא","అపవిత్రము చేయు","To defile/To be unclean","Verb","H2930"
"נְבָלָה","Nebalah","נָבָל","అవమానకరమైన కార్యము/బుద్ధిహీనత","Folly/Disgrace/Outrage","Noun","H5039"
"חָתַן","Chatan","חָתַן","వియ్యమందుట","To intermarry/To become a son-in-law","Verb","H2859"
"מִרְמָה","Mirmah","רָమָה","కపటము/మోసము","Deceit/Treachery","Noun","H4820"
"מוּל","Mul","מוּל","సున్నతి చేయుట","To circumcise","Verb","H4135"
"זָכָר","Zakhar","זָכַר","పురుషుడు/మగ","Male","Noun","H2145"
"חֶרֶב","Cherev","חָרַב","ఖడ్గము","Sword","Noun","H2719"
"נֶפֶשׁ","Nephesh","נָפַשׁ","ప్రాణము/మనస్సు","Soul/Life/Mind","Noun","H5315"
"מֹהַר","Mohar","מָהַר","కన్యాశుల్కము","Bride price","Noun","H4119"
"חָפֵץ","Chaphets","חָפֵץ","ఆనందించుట/ఇష్టపడుట","To delight in/To desire","Verb","H2654"
"אֱלֹהִים","Elohim","אֱלֹהִים","దేవుడు","God","Noun","H430"
"קוּם","qum","קוּם","లేవండి","Arise / Get up","Verb","H6965"
"בֵּית־אֵל","Beyth-El","בַּיִת / אֵל","బేతేలు (దేవుని మందిరం)","Bethel (House of God)","Proper Noun","H1008"
"מִזְבֵּחַ","mizbeach","זָבַח","బలిపీఠం","Altar","Noun","H4196"
"טָהַר","tahar","טָהֵר","శుద్ధి చేసుకొను","Purify / Be clean","Verb","H2891"
"שִׂמְלָה","simlah","שִׂמְלָה","వస్త్రము","Garment / Clothes","Noun","H8071"
"נֵזֶם","nezem","נָזַם","పోగులు / కర్ణభూషణాలు","Earring / Nose-ring","Noun","H5141"
"טָמַן","taman","טָמַן","దాచు / పాతిపెట్టు","Hide / Bury","Verb","H2934"
"חִתָּה","chittah","חָתַת","భయము","Terror / Fear","Noun","H2851"
"בָּרַךְ","barak","בָּרַךְ","దీవించు","To bless","Verb","H1288"
"שֵׁם","shem","שֵׁם","పేరు","Name","Noun","H8034"
"שַׁדַּי","Shadday","שָׁדַד","సర్వశక్తిమంతుడు","Almighty","Adjective/Noun","H7706"
"פָּרָה","parah","פָּרָה","ఫలించు","Be fruitful","Verb","H6509"
"רָבָה","rabah","רָבָה","విస్తరించు","Multiply","Verb","H7235"
"מַצֵּבָה","matstsebah","נָצַב","శిలాస్తంభం","Pillar / Monument","Noun","H4676"
"שֶׁמֶן","shemen","שָׁמַן","నూనె / తైలము","Oil","Noun","H8081"
"נֶפֶשׁ","nephesh","נָפַשׁ","ప్రాణం / ఆత్మ","Soul / Life / Breath","Noun","H5315"
"מוּת","muth","מוּת","చనిపోవు","To die","Verb","H4191"
"קָבַר","qabar","קָבַר","పాతిపెట్టు / పూడ్చు","To bury","Verb","H6912"
"בֵּן","ben","בָּנָה","కుమారుడు","Son","Noun","H1121"
"תּוֹלְדֹת","toldot","ילד","వంశావళి / చరిత్ర","generations / accounts / descendants","Noun, feminine plural","H8435"
"עֵשָׂו","Esav","עשו","ఏశావు","Esau","Proper Noun","H6215"
"אֱדוֹם","Edom","אדם","ఎదోము","Edom","Proper Noun","H123"
"נָשִׁים","nashim","אשה","భార్యలు / స్త్రీలు","wives / women","Noun, feminine plural","H802"
"בְּנוֹת","benot","בת","కుమార్తెలు","daughters","Noun, feminine plural","H1323"
"כְּנָעַן","Kena'an","כנען","కనాను","Canaan","Proper Noun","H3667"
"בָּנִים","banim","בן","కుమారులు / పుత్రులు","sons / children","Noun, masculine plural","H1121"
"אֶרֶץ","eretz","ארץ","దేశం / భూమి","land / earth / country","Noun, feminine","H776"
"רְכוּשׁ","rekush","רכש","ఆస్తి / సంపద","property / possessions / wealth","Noun, masculine","H7399"
"הַר","har","הרר","పర్వతం / కొండ","mountain / hill country","Noun, masculine","H2022"
"שֵׂעִיר","Se'ir","שער","శేయీరు","Seir","Proper Noun","H8165"
"אַלּוּף","alluph","אלף","అధిపతి / నాయకుడు","chief / clan leader / duke","Noun, masculine","H441"
"מֶלֶךְ","melekh","מלך","రాజు","king","Noun, masculine","H4428"
"מָלַךְ","malakh","מלך","పాలించు / ఏలు","to reign / to rule","Verb","H4427"
"עִיר","ir","עור","పట్టణం / నగరం","city / town","Noun, feminine","H5892"
"יָכֹל","yakhol","יכל","సాధ్యపడు / శక్తుడగు","to be able / to prevail","Verb","H3201"
"מִקְנֶה","miqneh","קנה","పశువులు / మంద","livestock / cattle / possession","Noun, masculine","H4735"
"וַיֵּשֶׁב","wayyēšeḇ","יָשַׁב","నివసించెను","and he dwelt","Verb","H3427"
"אֶרֶץ","ʾereṣ","אֶרֶץ","దేశము","land","Noun","H776"
"תּוֹלְדֹת","tōlēḏōṯ","יָלַד","వంశావళి / చరిత్ర","generations / history","Noun","H8435"
"יוֹסֵף","yôsēp̄","יָסַף","యోసేపు","Joseph","Proper Noun","H3130"
"רֹעֶה","rōʿeh","רָעָה","మేపుచుండెను","shepherding","Verb","H7462"
"צֹאן","ṣōʾn","צֹאן","మంద","flock","Noun","H6629"
"אָהַב","ʾāhaḇ","אָהַב","ప్రేమించెను","loved","Verb","H157"
"כְּתֹנֶת","kətōneṯ","כְּתֹנֶת","అంగీ","tunic / coat","Noun","H3801"
"שָׂנְאוּ","śānəʾû","שָׂנֵא","ద్వేషించిరి","they hated","Verb","H8130"
"חֲלוֹם","ḥălôm","חָלַם","కల","dream","Noun","H2472"
"אֲלֻמָּה","ʾălummā","אָלַם","పన","sheaf","Noun","H485"
"קִנְאוּ","qinʾû","קָנָא","అసూయపడిరి","they envied","Verb","H7065"
"שָׁלוֹם","šālôm","שָׁלֵם","క్షేమము","peace / welfare","Noun","H7965"
"בּוֹר","bôr","בּוּר","గోయ్యి / గుంట","pit / cistern","Noun","H953"
"נָצַל","nāṣal","נָצַל","విడిపించుట","to deliver / rescue","Verb","H5337"
"סֹחֲרִים","sōḥărîm","סָחַר","వర్తకులు","merchants","Noun / Participle","H5503"
"כֶּסֶף","kesep̄","כָּסַף","వెండి / డబ్బు","silver / money","Noun","H3701"
"חַיָּה","ḥayyā","חָיָה","క్రూరమృగము","beast / animal","Noun","H2416"
"שִׂמְלָה","śimlā","שִׂמְלָה","వస్త్రము","garment / clothes","Noun","H8071"
"שַׂק","śaq","שָׂקַק","గోనెపట్ట","sackcloth","Noun","H8242"
"יָרַד","yarad","יָרַד","దిగి వెళ్ళు","to go down / descend","Verb","H3381"
"נָטָה","natah","נָטָה","ప్రక్కకు తిరుగు","to turn aside / stretch out","Verb","H5186"
"רָאָה","ra'ah","רָאָה","చూచు","to see","Verb","H7200"
"בַּת","bath","בַּת","కుమార్తె","daughter","Noun","H1323"
"לָקַח","laqach","לָקַח","తీసుకొను / వివాహము చేసుకొను","to take / marry","Verb","H3947"
"יָלַד","yalad","יָלַד","ప్రసవించు / కనుట","to bear / give birth","Verb","H3205"
"רַע","ra","רָעַע","చెడు / దుష్ట","evil / bad","Adjective","H7451"
"מוּת","muth","מוּת","చనిపోవు","to die","Verb","H4191"
"יָבַם","yabam","יָבַם","మరది ధర్మమును జరిగించు","to perform the duty of a brother-in-law","Verb","H2992"
"זֶרַע","zera","זָרַע","సంతానము / విత్తనము","seed / offspring","Noun","H2233"
"אַלְמָנָה","almanah","אָלַם","విధవరాలు","widow","Noun","H490"
"זֹנָה","zonah","זָנָה","వేశ్య / వ్యభిచారిణి","harlot / prostitute","Noun","H2181"
"חֹתָם","chotham","חָתַם","ముద్ర ఉంగరము","signet ring / seal","Noun","H2368"
"פְּתִיל","pethil","פָּתַל","త్రాడు / మొలత్రాడు","cord / thread","Noun","H6616"
"מַטֶּה","matteh","נָטָה","కర్ర / దండము","staff / rod","Noun","H4294"
"הָרָה","harah","הָרָה","గర్భవతి అగు","to conceive / be pregnant","Verb","H2029"
"תְּאוֹמִים","te'omim","תָּאַם","కవలలు","twins","Noun","H8380"
"פֶּרֶץ","peretz","פָּרַץ","కన్నము / పగులు","breach / breaking forth","Noun","H6556"
"יוֹסֵף","Yosef","יָסַף","యోసేపు","Joseph","Proper Noun","H3130"
"מִצְרַיִם","Mitzrayim","מִצְרַיִם","ఐగుప్తు","Egypt","Proper Noun","H4714"
"סָרִיס","Saris","סָרִיס","అధికారి లేదా నపుంసకుడు","Officer or Eunuch","Noun","H5631"
"טַבָּח","Tabbach","טָבַח","అంగరక్షకుడు","Guard or Executioner","Noun","H2876"
"יָד","Yad","יָד","చేయి లేదా అధికారం","Hand or Power","Noun","H3027"
"צָלַח","Tzalach","צָלַח","వర్ధిల్లుట లేదా సఫలమగుట","To prosper or succeed","Verb","H6743"
"אָדוֹן","Adon","אָדַן","యజమానుడు","Master or Lord","Noun","H113"
"חֵן","Chen","חָנַן","కృప లేదా దయ","Grace or Favor","Noun","H2580"
"פָּקַד","Paqad","פָּקַד","నియమించుట లేదా పర్యవేక్షించుట","To appoint or oversee","Verb","H6485"
"בְּרָכָה","Berakah","בָּרַךְ","ఆశీర్వాదము","Blessing","Noun","H1293"
"תֹּאַר","Toar","תֹּאַר","రూపము","Form or Appearance","Noun","H8389"
"מַרְאֶה","Mareh","רָאָה","చూపు లేదా ఆకారం","Sight or Appearance","Noun","H4758"
"מָאֵן","Ma'en","מָאֵן","నిరాకరించుట","To refuse","Verb","H3985"
"חַטָּאת","Chatta't","חָטָא","పాపము","Sin","Noun","H2403"
"בֶּגֶד","Beged","בָּגַד","వస్త్రము","Garment or Clothing","Noun","H899"
"סֹהַר","Sohar","סֹהַר","చెరసాల","Prison or Roundhouse","Noun","H5470"
"חֶסֶד","Chesed","חָסַד","కృప లేదా నిబంధన వాత్సల్యము","Lovingkindness or Mercy","Noun","H2617"
"מַשְׁקֶה","mashqeh","shakah","మత్తు పానీయాములను అందించువాడు","cupbearer","Noun","H4945"
"אֹפֶה","opeh","aphah","పిండివంటలు చేయువాడు","baker","Noun","H644"
"חָטָא","chata","chata","పాపము చేసెను","sinned","Verb","H2398"
"קָצַף","qatsaph","qatsaph","కోపగించుకొనెను","was angry","Verb","H7107"
"סָרִיס","saris","saris","అధికారి","official or eunuch","Noun","H5631"
"מִשְׁמָר","mishmar","shamar","కారాగారము","custody or prison","Noun","H4929"
"חֲלוֹם","chalom","chalam","కల","dream","Noun","H2472"
"פִּתְרוֹן","pitron","pathar","భావము లేక వివరణ","interpretation","Noun","H6623"
"זֹעֵף","zoeph","zaaph","విచారముగా","dejected or sad","Adjective","H2196"
"גֶּפֶן","gephen","gephen","ద్రాక్షావల్లి","vine","Noun","H1612"
"שָׂרִיג","sarig","sarag","తీగె","branch","Noun","H8270"
"כּוֹס","kos","kos","గిన్నె","cup","Noun","H3563"
"שָׂחַט","sachat","sachat","పిండెను","pressed or squeezed","Verb","H7818"
"נָשָׂא","nasa","nasa","ఎత్తు","to lift up","Verb","H5375"
"חֶסֶד","chesed","chasad","కృప","kindness or mercy","Noun","H2617"
"בּוֹר","bor","ba'ar","గొయ్యి లేక చెరసాల","pit or dungeon","Noun","H953"
"סַל","sal","salal","గంప","basket","Noun","H5536"
"עוֹף","oph","uph","పక్షి","bird","Noun","H5775"
"תָּלָה","talah","talah","ఉరి తీయు లేక వ్రేలాడదీయు","to hang","Verb","H8518"
"מִשְׁתֶּה","mishteh","shakah","విందు","feast","Noun","H4960"
"פַּרְעֹה","Par'oh","פַּרְעֹה","ఫరో","Pharaoh","Proper Noun","H6547"
"חֲלוֹם","chalom","חָלַם","కల","dream","Noun Masculine","H2472"
"יְאֹר","Ye'or","יְאֹר","నది (నైలు)","river (specifically the Nile)","Noun Masculine","H2975"
"פָּרָה","parah","פָּרָה","ఆవు","cow/heifer","Noun Feminine","H6510"
"שִׁבֹּלֶת","shibbolet","שִׁבֹּלֶת","వెన్ను (ధాన్యపు వెన్ను)","ear of grain","Noun Feminine","H7641"
"חַרְטֹם","chartom","חַרְטֹם","మాంత్రికుడు","magician/diviner","Noun Masculine","H2748"
"חָכָם","chacham","חָכַם","జ్ఞాని","wise man","Adjective/Noun","H2450"
"פִּתְרוֹן","pithron","פָּתַר","భావము/అర్థము","interpretation","Noun Masculine","H6623"
"שֶׁבַע","sheva","שֶׁבַע","ఏడు","seven","Number","H7651"
"שָׁנָה","shanah","שָׁנָה","సంవత్సరం","year","Noun Feminine","H8141"
"רָעָב","ra'av","רָעֵב","కరవు/క్షామము","famine/hunger","Noun Masculine","H7458"
"שָׂבָע","sava","שָׂבַע","సమృద్ధి","plenty/abundance","Noun Masculine","H7647"
"נָבוֹן","navon","בִּין","వివేకముగల","discerning/intelligent","Adjective","H5140"
"טַבַּעַת","tabba'at","טָבַע","ముద్రుంగరము","signet ring","Noun Feminine","H2885"
"זָהָב","zahav","זָהָב","బంగారము","gold","Noun Masculine","H2091"
"שַׁלִּיט","shallit","שָׁלַט","అధికారి/ఏలువాడు","ruler/governor","Noun Masculine","H7989"
"אֶרֶץ","eretz","אֶרֶץ","దేశము/భూమి","land/earth","Noun Feminine","H776"
"אֹכֶל","okhel","אָכַל","ఆహారము","food","Noun Masculine","H400"
"צָפְנַת פַּעְנֵחַ","Tzafenat Pa'neach","צָפְנַת פַּעְנֵחַ","జప్నత్ పనేహ","Zaphenath-Paneah (Joseph's Egyptian name)","Proper Noun","H6847"
"מִצְרַיִם","Mitzrayim","מִצְרַיִם","ఐగుప్తు","Egypt","Proper Noun","H4714"
"שֶׁבֶר","sheber","שבר","ధాన్యం","grain","Noun","H7668"
"רָעָב","ra'av","רעב","కరువు","famine","Noun","H7458"
"מִצְרַיִם","Mitsrayim","מצר","ఐగుప్తు","Egypt","Proper Noun","H4714"
"שַׁלִּיט","shallit","שלט","అధికారి","ruler","Noun/Adjective","H7989"
"נָכַר","nakar","נכר","గుర్తించు","to recognize","Verb","H5234"
"מְרַגְּלִים","meraggelim","רגל","వేగులవారు","spies","Noun","H7270"
"עֶרְוָה","erwah","ערה","దిగంబరత్వం/బలహీనత","nakedness (vulnerability)","Noun","H6172"
"אֱמֶת","emet","אמן","సత్యము","truth","Noun","H571"
"מִשְׁמָר","mishmar","שמר","చెరసాల/కావలి","prison/custody","Noun","H4929"
"כֶּסֶף","kesef","כסף","వెండి/డబ్బు","silver/money","Noun","H3701"
"אָשֵׁם","ashem","אשם","దోషి","guilty","Adjective","H818"
"צָרָה","tsarah","צרר","శ్రమ/వేదన","distress/trouble","Noun","H6869"
"מְלִיץ","melits","לוץ","అనువాదకుడు","interpreter","Noun","H3887"
"שַׂק","saq","שקק","గోనెసంచి","sack","Noun","H8242"
"חָרַד","charad","חרד","వణకుట/భయపడుట","to tremble/to fear","Verb","H2729"
"רָעָב","ra'av","רעב","కరువు","famine","Noun","H7458"
"כָּבֵד","kaved","כבד","తీవ్రమైన","heavy/severe","Adjective","H3515"
"מִנְחָה","minchah","מנחה","కానుక","present/gift","Noun","H4503"
"כֶּסֶף","kesef","כסף","వెండి / డబ్బు","silver/money","Noun","H3701"
"יָרַד","yarad","ירד","దిగివెళ్లు","to go down","Verb","H3381"
"שָׁלוֹם","shalom","שלם","క్షేమము / సమాధానము","peace/well-being","Noun","H7965"
"רַחֲמִים","rachamim","רחם","కనికరము","compassion/mercy","Noun","H7356"
"בָּכָה","bakhah","בכה","ఏడ్చు","to weep","Verb","H1058"
"טָבַח","tavach","טבח","వధించు","to slaughter","Verb","H2873"
"אָב","av","אב","తండ్రి","father","Noun","H1"
"אָח","ach","אח","సహోదరుడు","brother","Noun","H251"
"פָּנִים","panim","פנה","ముఖము","face/presence","Noun","H6440"
"לֶחֶם","lechem","לחם","ఆహారము / రొట్టె","food/bread","Noun","H3899"
"קָטָן","qatan","קטן","చిన్న","small/youngest","Adjective","H6996"
"עוּד","ud","עוד","హెచ్చరించు","to warn/testify","Verb","H5749"
"וַיְצַו","vay-tsav","צוה","ఆజ్ఞాపించెను","and he commanded","Verb","H6680"
"אַמְתְּחֹת","am-te-chot","אמתחת","సంచులు","sacks","Noun","H572"
"כֶּסֶף","ke-sef","כסף","వెండి / డబ్బు","silver / money","Noun","H3701"
"גְּבִיעִי","ge-vi-i","גביע","నా పాత్ర / గిన్నె","my cup / goblet","Noun","H1375"
"הַבֹּקֶר","ha-bo-qer","בקר","ఉదయము","the morning","Noun","H1242"
"רָדַף","ra-daf","רדף","తరుముట","to pursue / follow after","Verb","H7291"
"רָעָה","ra-ah","רעע","కీడు / చెడు","evil / harm","Noun / Adjective","H7451"
"גָנַב","ga-nav","גנב","దొంగిలించుట","to steal","Verb","H1589"
"עֶבֶד","e-ved","עבד","దాసుడు","servant / slave","Noun","H5650"
"וַיִּקְרְעוּ","vay-yiq-re-u","קרע","వారు చింపుకొన్నారు","and they tore (their garments)","Verb","H7167"
"שִׂמְלֹתָם","sim-lo-tam","שמלה","వారి బట్టలు","their clothes / garments","Noun","H8071"
"חָטָא","cha-ta","חטא","పాపము","sin / guilt","Noun / Verb","H2398"
"וַיִּגַּשׁ","vay-yig-gash","נגש","సమీపించెను","and he drew near","Verb","H5066"
"אֲדֹנִי","a-do-ni","אדן","నా ప్రభువా","my lord","Noun","H113"
"זָקֵן","za-qen","זקן","ముసలివాడు","old man / elder","Noun / Adjective","H2205"
"נֶפֶשׁ","ne-fesh","נפש","ప్రాణము","soul / life","Noun","H5315"
"אָח","ach","אח","సోదరుడు","brother","Noun","H251"
"אָהֵב","a-hev","אהב","ప్రేమించుట","to love","Verb","H157"
"יֶלֶד","ye-led","ילד","బిడ్డ / బాలుడు","child / boy","Noun","H3206"
"עָזַב","a-zav","עזב","విడిచిపెట్టుట","to leave / forsake","Verb","H5800"
"להתאפק","lehit'apeq","אָפַק","నిగ్రహించుకొనుట","to restrain oneself","Verb","H662"
"בכי","beki","בכה","ఏడ్పు","weeping","Noun","H1065"
"נבהלו","nivhalu","בהל","కలవరపడ్డారు","to be dismayed or terrified","Verb","H926"
"מכרתם","mekhartem","מכר","మీరు అమ్మారు","you sold","Verb","H4376"
"מחיה","michyah","חיה","జీవనాధారము","preservation of life","Noun","H4241"
"רעב","ra'av","רעב","కరువు","famine","Noun","H7458"
"חריש","charish","חרש","దున్నకము","plowing","Noun","H2758"
"קציר","qatsir","קצר","కోత","harvest","Noun","H7105"
"שארית","she'erit","שאר","శేషము","remnant","Noun","H7611"
"משל","moshel","משל","అధికారి లేదా ఏలువాడు","ruler","Noun","H4910"
"עגלות","agalot","עגלה","బండ్లు","wagons or carts","Noun","H5699"
"חליפות","chalipot","חלף","దుస్తుల జతలు","changes of garments","Noun","H2487"
"רדה","redah","ירד","దిగిరమ్ము","come down (imperative)","Verb","H3381"
"ותחי","vatichi","חיה","బ్రతికెను (జీవము వచ్చెను)","it revived","Verb","H2421"
"יִשְׂרָאֵל","Yisra'el","שָׂרָה","ఇశ్రాయేలు","Israel","Proper Noun","H3478"
"נָסַע","nasa","נָסַע","ప్రయాణమగు","to journey or set out","Verb","H5265"
"זֶבַח","zebach","זָבַח","బలి","sacrifice","Noun","H2077"
"מַרְאָה","mar'ah","רָאָה","దర్శనము","vision","Noun","H4759"
"יָרֵא","yare","יָרֵא","భయపడు","to fear","Verb","H3372"
"יָרַד","yarad","יָרַד","దిగివెళ్లు","to go down / descend","Verb","H3381"
"גּוֹי","goy","גּוֹי","జనము","nation","Noun","H1471"
"גָּדוֹל","gadol","גָּדַל","గొప్ప","great","Adjective","H1419"
"זֶרַע","zera","זָרַע","సంతానము","seed or offspring","Noun","H2233"
"נֶפֶשׁ","nephesh","נָפַשׁ","ప్రాణము లేదా వ్యక్తి","soul, person, or living being","Noun","H5315"
"יָלַד","yalad","יָלַד","కనుట","to bear or bring forth","Verb","H3205"
"בְּכוֹר","bekor","בָּכַר","జ్యేష్ఠపుత్రుడు","firstborn","Noun","H1060"
"עֲגָלָה","agalah","עָגַל","బండ్లు","carts or wagons","Noun","H5699"
"מִקְנֶה","miqneh","קָנָה","పశువుల మంద","livestock or cattle","Noun","H4735"
"רֹעֶה","ro'eh","רָעָה","గొర్రెల కాపరి","shepherd","Noun/Participle","H7462"
"תּוֹעֵבָה","to'evah","תָּעַב","హేయమైనది","abomination or detestable thing","Noun","H8441"
"בּוֹא","bo","בוא","వచ్చుట","to come, enter","Verb","H935"
"אָב","av","אב","తండ్రి","father","Noun","H1"
"אָח","ach","אח","సహోదరుడు","brother","Noun","H251"
"אֶרֶץ","erets","ארץ","దేశము, భూమి","land, earth","Noun","H776"
"צֹאן","tson","צאן","గొర్రెల మంద","flock, sheep and goats","Noun","H6629"
"רֹעֶה","ro'eh","רעה","గొర్రెల కాపరి","shepherd","Noun/Participle","H7462"
"גּוּר","gur","גור","పరవాసము చేయుట","to sojourn, dwell as an alien","Verb","H1481"
"רָעָב","ra'av","רעב","కరువు","famine, hunger","Noun","H7458"
"שָׁנָה","shanah","שׁנה","సంవత్సరము","year","Noun","H8141"
"כֶּסֶף","kesef","כסף","వెండి, డబ్బు","silver, money","Noun","H3701"
"לֶחֶם","lechem","לחם","ఆహారము, రొట్టె","bread, food","Noun","H3899"
"מִקְנֶה","miqneh","קנה","పశువులు, ఆస్తి","livestock, possession","Noun","H4735"
"קָנָה","qanah","קנה","కొనుట","to buy, acquire","Verb","H7069"
"אֲדָמָה","adamah","אדם","నేల, భూమి","ground, soil, land","Noun","H127"
"חֹק","choq","חקק","కట్టడ, నియమము","statute, decree, prescribed portion","Noun","H2706"
"זֶרַע","zera","זרע","విత్తనము, సంతానము","seed, offspring","Noun","H2233"
"חֶסֶด","chesed","חסد","కృప, వాత్సల్యము","loving-kindness, mercy, faithfulness","Noun","H2617"
"קֶבֶר","qever","קבר","సమాధి","grave, burial place","Noun","H6913"
"שָׁלוֹם","shalom","שלם","క్షేమము, శాంతి","peace, welfare, well-being","Noun","H7965"
"בְּרָכָה","berakah","ברך","దీవెన, ఆశీర్వాదము","blessing","Noun","H1293"
"חָלָה","chalah","חלה","జబ్బుపడు / అనారోగ్యము","to be sick / to be ill","Verb","H2470"
"בָּרַךְ","barak","ברך","ఆశీర్వదించు","to bless","Verb","H1288"
"יָמִין","yamin","ימן","కుడి చెయ్యి","right hand","Noun","H3225"
"שְׂמֹאל","semol","שׂמאל","ఎడమ చెయ్యి","left hand","Noun","H8040"
"בְּכֹר","bekhor","בכר","జ్యేష్ఠుడు / తొలిచూలు","firstborn","Noun","H1060"
"קָטֹן","qaton","קטן","చిన్న","small / younger","Adjective","H6996"
"גָּאַל","ga'al","גאל","విమోచించు / విడిపించు","to redeem / to deliver","Verb","H1350"
"רָעָה","ra'ah","רעה","మేపుట / కాపరిగా ఉండుట","to shepherd / to feed","Verb","H7462"
"מְלֹא","melo","מלא","నిండు / సమృద్ధి","fullness / multitude","Noun","H4393"
"שְׁכֶם","shekem","שׁכם","భుజము / భాగము","shoulder / portion","Noun","H7926"
"כָּבֵד","kaved","כבד","భారమైన / మందగించిన","heavy / dim (referring to eyes)","Adjective","H3513"
"חֶרֶב","cherev","חרב","ఖడ్గము","sword","Noun","H2719"
"קֶשֶׁת","qeshet","קשׁת","విల్లు","bow","Noun","H7198"
"עַיִן","ayin","עין","కన్ను","eye","Noun","H5869"
"שָׂכַל","sakal","שׂכל","జ్ఞానముగా ఉండుట / వివేకముతో","to cross (hands) / to act wisely","Verb","H7919"
"קָרָא","qara","קָרָא","పిలుచుట","to call, summon","Verb","H7121"
"אָסַף","asaph","אָסַף","పోగుచేయుట","to gather, assemble","Verb","H622"
"אַחֲרִית","acharit","אָחַר","ముగింపు / అంతము","latter, end, future","Noun","H319"
"יָמִים","yamim","יוֹם","రోజులు","days","Noun","H3117"
"שָׁמַע","shama","שָׁמַע","వినుట","to hear, listen","Verb","H8085"
"בְּכֹר","bekhor","בָּכַר","జ్యేష్ఠపుత్రుడు","firstborn","Noun","H1060"
"כֹּחַ","koach","כֹּחַ","బలము","strength, power","Noun","H3581"
"יָצַע","yatsa","יָצַע","పాన్పు / పడక","couch, bed","Noun","H3326"
"חָמָס","chamas","חָמָס","బలాత్కారము","violence, wrong","Noun","H2555"
"סוֹד","sod","סוֹד","ఆలోచన / రహస్యము","council, assembly, secret","Noun","H5475"
"אַף","aph","אָנַף","కోపము","anger, nose","Noun","H639"
"אָרוּר","arur","אָרַר","శపించబడిన","cursed","Adjective","H779"
"יָדָה","yadah","יָדָה","స్తుతించుట","to praise, give thanks","Verb","H3034"
"אַרְיֵה","aryeh","אָרָה","సింహము","lion","Noun","H738"
"שֵׁבֶט","shevet","שֵׁבֶט","దండము / గోత్రము","scepter, staff, tribe","Noun","H7626"
"שִׁילֹה","shiloh","שִׁילֹה","షైనోహు (మెస్సీయకు సూచన)","Shiloh (He to whom it belongs)","Proper Noun","H7886"
"חֲמוֹר","chamor","חָמַר","గాడిద","donkey","Noun","H2543"
"מְנוּחָה","menuchah","נוּחַ","విశ్రాంతి","resting place, rest","Noun","H4496"
"נָחָשׁ","nachash","נָחָשׁ","పాము","serpent, snake","Noun","H5175"
"יְשׁוּעָה","yeshuah","יָשַׁע","రక్షణ","salvation, deliverance","Noun","H3444"
"לֶחֶם","lechem","לָחַם","ఆహారము / రొట్టె","bread, food","Noun","H3899"
"בֵּן","ben","בָּנָה","కుమారుడు","son, branch","Noun","H1121"
"קֶשֶׁת","qeshet","קָשַׁת","విల్లు","bow (weapon)","Noun","H7198"
"בְּרָכָה","berakah","בָּרַךְ","ఆశీర్వాదము","blessing","Noun","H1293"
"זְאֵב","ze'ev","זְאֵב","తోడేలు","wolf","Noun","H2061"
"קָבַר","qavar","קָבַר","పాతిపెట్టుట","to bury","Verb","H6912"
"מְעָרָה","me'arah","מְעָרָה","గుహ","cave","Noun","H4631"
"יוֹסֵף","Yosef","יוֹסֵף","యోసేపు","Joseph","Proper Noun","H3130"
"אָבִיו","aviv","אָב","అతని తండ్రి","his father","Noun","H1"
"וַיֵּבְךְּ","wayyevk","בָּכָה","మరియు ఏడ్చెను","and he wept","Verb","H1058"
"רֹפְאִים","rop'im","רָפָא","వైద్యులు","physicians","Noun","H7495"
"לַחֲנֹט","lachanot","חָנַט","శవమును భద్రపరచుటకు","to embalm","Verb","H2590"
"הִשְׁבִּיעַנִי","hishbi'ani","שָׁבַע","నాతో ప్రమాణము చేయించెను","he made me swear","Verb","H7650"
"קִבְרִי","qivri","קֶבֶר","నా సమాధి","my grave","Noun","H6913"
"זִקְנֵי","ziqne","זָקֵן","పెద్దలు","elders","Noun","H2205"
"רֶכֶב","rekhev","רֶכֶב","రథము","chariot","Noun","H7393"
"אֵבֶל","evel","אָבַל","ప్రలాపము లేదా దుఃఖము","mourning","Noun","H60"
"פֶּשַׁע","pesha","פֶּשַׁע","అపరాధము","transgression","Noun","H6588"
"חַטָּאתָם","chattatam","חַטָּאת","వారి పాపము","their sin","Noun","H2403"
"חֲשַׁבְתֶּם","chashavtem","חָשַׁב","మీరు తలంచితిరి","you thought / planned","Verb","H2803"
"רָעָה","ra'ah","רַע","కీడు లేదా చెడు","evil","Noun/Adjective","H7451"
"טּוֹבָה","tovah","טוֹב","మేలు","good","Noun/Adjective","H2896"
"נִחַם","nicham","נָחַם","ఓదార్చెను","comforted","Verb","H5162"
