strongs,word,occurrences,english_meaning,telugu_meaning
H8471,תַּחפַּנחֵס תְּחַפנְחֵס תַּחפְּנֵס,7,"Techaphneches or Tachpenes, a place in Egypt",
H8590,תַּעֲנָך תַּענָך,7,a place in Israel,
H8602,תָּפֵל,7,"unsavoury, untempered.",
H8620,תְּקוַֹע,7,a place in Israel,
H8621,תְּקוֹעִי תְּקוֹעִי,7,a Tekoite or inhabitant of Tekoah,
H8639,תַּרדֵּמָה,7,a lethargy; (by implication) trance,
H8649,תָּרמָה תַּרמוּת תַּרמִיתּ,7,privily.,
H8658,תַּרשִׁישׁ,7,perhaps the topaz,
H11,אֲבַדּוֹן,6,(abstractly) a perishing; (concretely) Hades,
H32,אֲבִיהַיִל אֲבִיחַיִל,6,the name of three Israelites and two Israelitesses,
H46,אָבִיר,6,mighty (spoken of God),
H80,אָבָק,6,powder.,
H125,אֲדַמדָּם,6,reddish,
H172,אָהֳלִיבָּה אָהֳלִיבָּהּ,6,a symbolic name for Judah,
H217,אוּר,6,light. See also H0224.,
H235,אָזַל,6,"gad about, go to and fro (but in Ezek. 27",
H283,אַחיוֹ,6,the name of three Israelites,
H295,אֲחִיעֶזֶר,6,the name of two Israelites,
H317,אָחֳרִי,6,ochoriy (okh-or-ee') adj. 1. other [(Aramaic) from H311] KJV: (an-)other.  Root(s): H311,
H328,אַט,6,(as an adverb) gently,
H345,אַיָה,6,the name of two Israelites,
H362,אֵילִם,6,a place in the Desert,
H363,אִילָן,6,iylan (ee-lawn') n-m. 1. a tree [(Aramaic) corresponding to H356] KJV: tree.  Root(s): H356,
H380,אִישׁוֹן,6,"black, obscure.",
H422,אָלָה,6,in a bad sense) to invoke a curse,
H458,אֱלִימֶלֶך,6,an Israelite,
H460,אֶליָסָף,6,the name of two Israelites,
H469,אֱלִיצָּפָן אֶלצָּפָן,6,an Israelite,
H483,אִלֵּם,6,speechless,
H501,אֶלעָשָׂה,6,the name of four Israelites,
H533,אַמִּיצּ אַמִּץ,6,"mighty, strong (one).",
H562,אוֹמֶר,6,"speech, thing, word",
H724,אֲרוּכָה אֲרוּכָה,6,"made up, perfected.",
H737,אֲרוּחָה,6,"diet, dinner, victuals.",
H740,אֲרִיאֵל,6,"a symbolical name for Jerusalem, also the name of an Israelite",
H757,אַרכִּי,6,Archite.,
H774,אַרפָּד,6,a place in Syria,
H794,אֲשֵׁדָה,6,a ravine,
H796,אַשׁדּוֹדִי,6,of Ashdod.,
H812,אֶשׁכּוֹל,6,"the name of an Amorite, also of a valley in Israel",
H826,אַשָּׁף,6,ashshaph (ash-shawf') n-m. 1. astrologer [(Aramaic) corresponding to H825]  Root(s): H825,
H827,אַשׁפָּה,6,a quiver or arrow-case,
H851,אֶשׁתְּמוַֹע אֶשׁתְּמוַֹע אֶשׁתְּמוֹה,6,a place in Israel,
H862,אַתּתּוּק אַתּתִּיק,6,a ledge or offset in a building,
H893,בֵּבַי,6,an Israelite,
H902,בִּגוַי,6,an Israelite,
H907,בַּד,6,lie.,
H913,בְּדִיל,6,tin,
H989,בְּטֵל,6,"btel (bet-ale') v. 1. to stop [(Aramaic) corresponding to H988] KJV: (cause, make to), cease, hinder.  Root(s): H988",
H1000,בֵּיצָּה,6,an egg (from its whiteness),
H1067,בְּכִירָה,6,the eldest daughter,
H1131,בִּנּוּי,6,an Israelite,
H1187,בַּעַל פְּעוֹר,6,a Moabitish deity,
H1252,בּוֹר,6,pureness.,
H1309,בְּשׂוֹרָה בְּשׂוֹרָה,6,glad tidings; (by implication) reward for good news,
H1377,גְּבִירָה,6,a mistress,
H1405,גִּבְּתוֹן,6,a place in Israel,
H1474,גּוֹלָן,6,a place east of the Jordan,
H1505,גְּזַר,6,"gzar (ghez-ar') v. 1. to quarry 2. determine [(Aramaic) corresponding to H1504] KJV: cut out, soothsayer.  Root(s): H1504",
H1518,גִּיַח גּוַֹח,6,"labor to bring forth, come forth, draw up, take out.",
H1521,גִּיחוֹן גִּחוֹן,6,also a valley (or pool) near Jerusalem,
H1551,גָּלִיל גָּלִילָה,6,a circle (with the article); Galil (as a special circuit) in the North of Israel,
H1555,גָּליַת,6,a Philistine,
H1586,גּוֹמֶר,6,also of a Hebrewess,
H1651,גְּשׁוּרִי,6,Geshurites.,
H1655,גֶּשֶׁם,6,"geshem (gheh'-shem) n-m. 1. the body {used in a peculiar sense, probably for the figurative idea of a hard rain.} [(Aramaic) apparently the same as H1653] KJV: body.  Root(s): H1653",
H1668,דָּא,6,"da' (daw) p/d. 1. this [(Aramaic) corresponding to H2088] KJV: one..another, this.  Root(s): H2088",
H1674,דְּאָגָה,6,"fear, heaviness, sorrow.",
H1734,דּוֹדוֹ,6,the name of three Israelites,
H1763,דְּחַל,6,"dchal (deh-khal') v. 1. to slink 2. (by implication) to fear, or (causatively) be formidable [(Aramaic) corresponding to H2119] KJV: make afraid, dreadful, fear, terrible.  Root(s): H2119",
H1785,דָּיֵק,6,a battering-tower,
H1807,דְּלִילָה,6,a Philistine woman,
H1828,דּוֹמֶן,6,manure,
H1844,דֵּעָה,6,knowledge,
H1905,הַגרִי הַגרִיא,6,"Hagarite, Haggeri.",
H1916,הֲדוֹם,6,a foot stool,
H1918,הֲדַס,6,the myrtle,
H1933,הָוָא הָוָה,6,"hava' (haw-vaw') (or havah {haw-vaw'}) v. 1. supposed to mean properly, to breathe 2. to be (in the sense of existence) [a primitive root] KJV: be, X have.  Compare: H183, H1961",
H2002,הַמנִיכּ הֲמוּנֵך,6,hamniyk (ham-neek') ((Aramaic) but the text is hamuwnek {ham-oo-nayk'}) n-m. 1. a necklace [of foreign origin] KJV: chain.,
H2067,זַבדִּי,6,the name of four &Š Israelites,
H2113,זְוָעָה,6,fear,
H2122,זִיו,6,"ziyv (zeev) n-m. 1. (figuratively) cheerfulness [(Aramaic) corresponding to H2099] KJV: brightness, countenance.  Root(s): H2099",
H2197,זַעַף,6,"rage(-ing), wrath.",
H2209,זִקנָה,6,old age,
H2227,זַרחִי,6,a Zarchite or descendant of Zerach,
H2247,חָבָה,6,to secrete,
H2255,חֲבַל,6,"chabal (khab-al') v. 1. to ruin [(Aramaic) corresponding to H2254] KJV: destroy, hurt.  Root(s): H2254",
H2276,חֶברוֹנִי חֶברוֹנִי,6,an inhabitant of Chebron,
H2300,חָדַד,6,make) sharp or (figuratively) severe,
H2331,חָוָה,6,H2421,
H2394,חָזקָה,6,"mightily, repair, sharply.",
H2418,חֲיָא חֲיָה,6,"chaya' (khah-yaw') ((Aramaic) or chayah (Aramaic) {khah-yaw'}) v. 1. to live [corresponding to H2421] KJV: live, keep alive.  Root(s): H2421",
H2485,חָלִיל,6,a flute (as perforated),
H2531,חֶמֶד,6,pleasant.,
H2535,חַמָּה,6,sun.,
H2556,חָמֵץ,6,"dyed, be grieved, leavened.",
H2558,חוֹמֶץ,6,vinegar,
H2562,חֲמַר,6,chamar (kham-ar') n-m. 1. wine [(Aramaic) corresponding to H2561] KJV: wine.  Root(s): H2561,
H2624,חֲסִידָּה,6,i.e. a stork,
H2625,חָסִיל,6,i.e. a locust,
H2651,חוֹפֶן,6,"(both) hands, hand(-ful).",
H2698,חֲצֵרוֹת,6,a place in Israel,
H2730,חָרֵד,6,trembling.,
H2750,חֳרִי,6,"X great, heat.",
H2752,חוֹרִי,6,Horites.,
H2976,יָאַשׁ,6,i.e. (figuratively) to despond,
H3043,יְדִיעֲאֵל,6,the name of three Israelites,
H3066,יְהוּדִיתּ,6,the Jewish (used adverbially) language,
H3127,יוֹנֶקֶת,6,young twig.,
H3166,יַחֲזִיאֵל,6,the name of five Israelites,
H3226,יָמִין,6,the name of three Israelites,
H3278,יָעֵל,6,a Canaanite,
H3355,יָקטָּן,6,an Arabian patriarch,
H3418,יֶרֶק,6,i.e. grass or vegetation,
H3420,יֵרָקוֹן,6,"whether of persons (from fright), or of plants (from drought)",
H3465,יָשָׁן,6,old,
H3511,כְּאֵב,6,adversity,
H3553,כּוֹבַע,6,a helmet (as arched),
H3585,כַּחַשׁ,6,(figuratively) hypocrisy,
H3599,כִּיס,6,"cup, purse.",
H3663,כְּנַניָה כְּנַניָהוּ,6,an Israelite,
H3700,כָּסַף,6,"be greedy, long, sore.",
H3784,כָּשַׁף,6,i.e. to inchant or practise magic,
H3785,כֶּשֶׁף,6,witchcraft.,
H3798,כִּתלִישׁ,6,a place in Israel,
H3803,כָּתַר,6,also to wait (as restraining oneself),
H3868,לוּז,6,"i.e. (literally) to depart, (figuratively) be perverse",
H3882,לִויָתָן,6,(figuratively) the constellation of the dragon; also as a symbol of Babylon,
H3888,לוּשׁ,6,to knead,
H3892,לַח,6,i.e. unused or undried,
H3897,לָחַך,6,to lick,
H3928,לִמּוּד לִמּוּד,6,"disciple, learned, taught, used.",
H3933,לַעַג,6,scoffing,
H4093,מַדָּע מַדַּע,6,"science, thought.",
H4099,מְדָתָא,6,the father of Haman,
H4114,מַהפֵּכָה,6,overthrow(-n).,
H4132,מוֹט,6,(by implication) a pole (as shaking); (hence) a yoke (as essentially a bent pole),
H4234,מָחוֹל,6,a (round) dance,
H4245,מַחֲלֶה מַחֲלָה,6,"infirmity, sickness.",
H4315,מֵיטָּב,6,the best part,
H4345,מַכבֵּר,6,a grate,
H4371,מֶכֶס,6,an assessment (as based upon a census),
H4375,מַכפֵּלָה,6,a place in Israel,
H4387,מִכתָּם,6,i.e. (techn.) a poem,
H4457,מֶלקָח מַלקָח,6,tongs.,
H4474,מִמשָׁל,6,that ruled.,
H4494,מָנוַֹח,6,quiet; (concretely) a settled spot; (figuratively) a home,
H4514,מַנעוּל מַנעוּל,6,a bolt,
H4571,מָעַד,6,"slide, slip.",
H4610,מַעֲלֵה עַקרַבִּים,6,a place in the Desert,
H4678,מַצֶּבֶת,6,also the stock of a tree,
H4685,מָצוֹד מְצוֹדָה מְצוֹדָה,6,"hold, munition, net, snare.",
H4689,מָצוֹק,6,i.e. (abstractly and figuratively) confinement or disability,
H4756,מָרֵא,6,"mare' (maw-ray') n-m. 1. a master [(Aramaic) from a root corresponding to H4754 in the sense of domineering] KJV: lord, Lord.  Root(s): H4754",
H4772,מַרגְּלָה,6,"i.e. (adverbially) at the foot, or (direct.) the foot itself",
H4800,מֶרחָב,6,"either literally (an open space, usually in a good sense), or figuratively (liberty)",
H4809,מְרִיבָּה,6,the name of two places in the Desert,
H4822,מְרֵמוֹת,6,the name of two Israelites,
H4903,מִשׁכַּב,6,mishkab (mish-kab') n-m. 1. a bed [(Aramaic) corresponding to H4904] KJV: bed.  Root(s): H4904,
H4906,מַשׂכִּיתּ,6,(figuratively) imagination,
H4933,מְשִׁסָּה,6,spoil.,
H4968,מְתוּשֶׁלַח,6,an antediluvian patriarch,
H4991,מַתּתָּת,6,a present,
H4997,נוֹאדּ נוֹאדּ נוֹאדָּה,6,a (skin or leather) bag (for fluids),
H5011,נוֹב,6,a place in Israel,
H5031,נְבִיאָה,6,a prophetess; (generally) inspired woman; (by implication) a poetess,
H5050,נָגַהּ,6,to illuminate,
H5067,נֵד,6,i.e. wave,
H5102,נָהַר,6,"hence (from the sheen of a running stream) to flow, i.e. (figuratively) assemble",
H5123,נוּם,6,slumber.,
H5138,נָזִידּ,6,i.e. soup,
H5168,נַחנוּ,6,we,
H5182,נְחַת,6,"nchath (nekh-ath') v. 1. to descend 2. causatively, to bring away, deposit, depose [(Aramaic) corresponding to H5181] KJV: carry, come down, depose, lay up, place.  Root(s): H5181",
H5246,נָמֵר,6,"to filtrate, i.e. be limpid (comp H5247 and H5249)]",
H5257,נְסִיכּ,6,(also) a molten image; (by implication) a prince (as anointed),
H5365,נָקַר,6,quarry),
H5382,נָשָׁה,6,"to remit, remove",
H5450,סְבָלָה,6,porterage,
H5512,סִין,6,Sin the name of an Egyptian town and (probably) desert adjoining,
H5543,סַלוּ סַלוּא סָלוּא סַלַּי,6,the name of two Israelites,
H5572,סְנֶה,6,a bramble,
H5585,סָעִיף,6,"clift, top.",
H5596,סָפַח שָׂפַח,6,but in certain peculiar senses (of removal or association),
H5603,סָפַן,6,(figuratively) to reserve,
H5613,סָפֵר,6,capher (saw-fare') n-m. 1. a scribe (secular or sacred) [(Aramaic) from the same as H5609] KJV: scribe.  Root(s): H5609,
H5651,עֶבֶד,6,the name of two Israelites,
H5663,עֶבֶד מֶלֶך,6,a eunuch of Zedekeah,
H5670,עָבַט,6,(figuratively) to entangle,
H5673,עֲבִידָּה,6,"`abiydah (ab-ee-daw') n-f. 1. labor or business [(Aramaic) from H5648] KJV: affairs, service, work.  Root(s): H5648",
H5696,עָגוֹל עָגוֹל,6,],
H5832,עֲזַראֵל,6,the name of five Israelites,
H5840,עַזרִיקָם,6,the name of four Israelites,
H5872,עֵין גֶּדִי,6,a place in Israel,
H5896,עִירָא,6,the name of three Israelites,
H5909,עַכבָּר,6,a mouse (as nibbling),
H5912,עָכָן,6,an Israelite,
H5920,עַל,6,to Jehovah,
H5955,עוֹלֵלָה,6,grapegleanings.,
H5988,עַמִּיאֵל,6,the name of three or four Israelites,
H6137,עַקרָב,6,a scorpion; (figuratively) a scourge or knotted whip,
H6144,עָר,6,a place in Moab,
H6152,עֲרָב עֲרַב,6,a country East of Israel,
H6181,עֶריָה,6,"naked, X quite.",
H6202,עָרַף,6,hence (figuratively) to destroy,
H6225,עָשַׁן,6,whether literal or figurative,
H6236,עֲשַׂר עֲשׂרָה,6,"`asar , (as-ar') ((Aramaic) masculine aasrah (Aramaic). {as-raw'}) n-e. 1. ten [corresponding to H6235] KJV: ten, + twelve.  Root(s): H6235",
H6264,עָתִידּ,6,"ready, treasures.",
H6355,פַּחַת מוֹאָב,6,an Israelite,
H6400,פֶּלַח,6,a slice,
H6424,פָּלַס,6,"also to revolve, i.e. weigh (mentally)",
H6433,פּוּם,6,pum (poom) n-m. 1. the mouth (literally or figuratively) [(Aramaic) probably for H6310] KJV: mouth.  Root(s): H6310,
H6458,פָּסַל,6,whether wood or stone,
H6530,פְּרִיצּ,6,i.e. a tyrant,
H6531,פֶּרֶך,6,i.e. severity,
H6540,פָּרַס,6,"Parac (paw-ras') n/g. 1. Persia, Persians [(Aramaic) corresponding to H6539]  Root(s): H6539",
H6551,פַּרעוֹשׁ,6,the name of our Israelite,
H6598,פַּתבַּג,6,a dainty,
H6600,פִּתגָּם,6,"pithgam (pith-gawm') n-m. 1. a word, answer, letter or decree [(Aramaic) corresponding to H6599] KJV: answer, letter, matter, word.  Root(s): H6599",
H6620,פֶּתֶן,6,an asp (from its contortions),
H6728,צִּיִי,6,i.e. nomad or wild beast,
H6767,צְּלָצַל,6,"locust, shadowing, spear.",
H6797,צָּנִיף צָּנוֹף צָּנִיפָה,6,"hood, mitre.",
H6842,צָּפִיר,6,a male goat (as prancing),
H6875,צְּרִי צֳּרִי,6,i.e. balsam,
H6906,קָבַע,6,i.e. (figuratively) defraud,
H6927,קַדמָה,6,"antiquity, former (old) estate.",
H6945,קָדֵשׁ,6,i.e. (technically) a (male) devotee (by prostitution) to licentious idolatry,
H6976,קוֹץ,6,the name of two Israelites,
H6979,קוּר,6,denominative from H7023) to wall up,
H7018,קֵינָן,6,an antediluvian,
H7028,קִישׁוֹן,6,a river of Israel,
H7034,קָלָה,6,"but figuratively, only (be (causatively, hold) in contempt)",
H7039,קָלִי קָלִיא,6,roasted ears of grain,
H7067,קַנָּא,6,jealous,
H7077,קָנַן,6,i.e. build or occupy as a nest,
H7139,קָרַח,6,to depilate,
H7203,רוֹאֶה,6,a seer (as often rendered); but also (abstractly) a vision,
H7236,רְבָה,6,"rbah (reb-aw') v. 1. make a great man, grow [(Aramaic) corresponding to H7235]  Root(s): H7235",
H7241,רָבִיבּ,6,a rain (as an accumulation of drops),
H7249,רַב ־ סָרִיס,6,a Babylonian official,
H7336,רָזַן,6,i.e. (figuratively) honorable,
H7376,רָטַשׁ,6,to dash down,
H7400,רָכִיל,6,"carry tales, talebearer",
H7461,רַעַד רֶעָדָה,6,a shudder,
H7468,רְעוּת,6,"mate, neighbour.",
H7476,רַעיוֹן,6,"ra`yown (rah-yone') n-m. 1. a grasp. i.e. (figuratively) mental conception [(Aramaic) corresponding to H7475] KJV: cogitation, thought.  Root(s): H7475",
H7482,רַעַם,6,a peal of thunder,
H7552,רֶקֶם,6,"the name of a place in Israel, also of a Midianite and an Israelite",
H7582,שָׁאָה,6,"(make a) rush(-ing), (lay) waste.",
H7593,שְׁאֵל,6,"sh'el (sheh-ale') v. 1. ask, demand, require [(Aramaic) corresponding to H7592]  Root(s): H7592",
H7619,שְׁבוּאֵל שׁוּבָאֵל,6,the name of two Israelites,
H7643,שְׂבָם שִׂבמָה,6,a place in Moab,
H7655,שִׁבעָה,6,shib`ah (shib-aw') n-f. 1. seven (times) [(Aramaic) corresponding to H7651]  Root(s): H7651,
H7659,שִׁבעָתַיִם,6,times).,
H7709,שְׁדֵמָה,6,field.,
H7711,שְׁדֵפָה שִׁדָּפוֹן,6,blight,
H7793,שׁוּר,6,a region of the Desert,
H7820,שָׁחַט,6,to hammer out,
H7838,שָׁחוֹר שָׁחוֹר,6,but also (absol.) jetty,
H7847,שָׂטָה,6,"go aside, turn.",
H7849,שָׁטַח,6,"enlarge, spread, stretch out.",
H7852,שָׂטַם,6,i.e. persecute,
H7853,שָׂטַן,6,(figuratively) accuse,
H7858,שֶׁטֶף שֵׁטֶף,6,"outrageous, overflowing.",
H7888,שִׁילוֹנִי שִׁילוֹנִי שִׁלוֹנִי,6,a Shilonite or inhabitant of Shiloh,
H7909,שַׁכּוּל שַׁכּוּל,6,bereaved (robbed) of children (whelps).,
H8060,שַׁמַּי,6,the name of three Israelites,
H8076,שָׁמֵם,6,ruined,
H8229,שִׁפעָה,6,"company, multitude.",
H8246,שָׁקַד,6,make) almond-shaped,
H8257,שָׁקַע,6,"(causatively) to abate, subdue",
H8264,שָׁקַק,6,"justle one against another, long, range, run (to and fro).",
H8266,שָׁקַר,6,i.e. be untrue (usually in words),
H8271,שְׁרֵא,6,"shre' (sher-ay') v. 1. to free, separate 2. (figuratively) to unravel, commence 3. (by implication) (of unloading beasts) to reside [(Aramaic) a root corresponding to that of H8293] KJV: begin, dissolve, dwell, loose.  Root(s): H8293",
H8323,שָׂרַר,6,"reflexively, get) dominion",
H8366,שָׁתַן,6,i.e. urinate,
H8382,תָּאַם,6,"to be (causatively, make) twinned, i.e. (figuratively) duplicate or (arch.) jointed",
H8407,תִּגלַת פִּלאֶסֶר תִּלגַּת פִּלנֶאֶסֶר,6,an Assyr. king,
H8431,תּוֹחֶלֶת,6,expectation,
H8439,תּוֹלָע,6,the name of two Israelites,
H8458,תַּחבּוּלָה תַּחבּוּלָה,6,(figuratively) guidance; (by implication) a plan,
H8480,תַּחַת,6,"the name of a place in the Desert, also of three Israelites",
H8526,תַּלמַי,6,the name of a Canaanite and a Syrian,
H8545,תְּמוּרָה,6,compensation,
H8555,תִּמנָע,6,the name of two Edomites,
H8598,תַּפּוַּח,6,"i.e. the fruit or the tree (probably includ. others of the pome order, as the quince, the orange, etc.)",
H8599,תַּפּוַּח,6,"the name of two places in Israel, also of an Israelite",
H8664,תִּשׁבִּי,6,a Tishbite or inhabitant of Tishbeh (in Gilead),
H27,אֲבִידָּן,5,an Israelite,
H38,אֲבִיָם,5,a king of Judah,
H49,אֲבִישַׁג,5,a concubine of David,
H50,אֲבִישׁוַּע,5,the name of two Israelites,
H91,אֲגָגִי,5,an Agagite or descendent (subject) of Agag,
H100,אַגמוֹן,5,(by implication) a rush (as growing there); (collectively) a rope of rushes,
H126,אַדמָה,5,a place near the Dead Sea,
H170,אָהֳלָה אָהֳלָהּ,5,"her tent (i.e. idolatrous sanctuary); Oholah, a symbol. name for Samaria",
H171,אָהֳלִיאָב,5,an Israelite,
H207,אוֹנוֹ אוֹנוֹ,5,a place in Israel,
H218,אוּר,5,(also) an Israelite,
H219,אוֹרָה,5,light.,
H266,אֲחוֹחִי,5,an Achochite or descendant of Achoach,
H286,אֲחִילוּד,5,an Israelite,
H299,אֲחִירַע,5,an Israelite,
H321,אָחֳרָן,5,"ochoran (okh-or-awn') adj. 1. other [(Aramaic) from H311, the same as H317] KJV: (an-)other.  Root(s): H311, H317",
H333,אָטֵר,5,the name of three Israelites,
H342,אֵיבָּה,5,hatred.,
H431,אֲלוּ,5,aluw (al-oo') inj. 1. lo! [(Aramaic) probably prolonged from H412] KJV: behold.  Root(s): H412,
H451,אַליָה,5,i.e. the fat tail of the Oriental sheep,
H459,אִלֵּין אִלֵּן,5,"illeyn (il-lane') ((Aramaic) or shorter oillen {il-lane'}) p/d. 1. these [prolonged from H412] KJV: the, these.  Root(s): H412",
H468,אֱלִיצּוּר,5,an Israelite,
H485,אֲלוּמָּה אָלוּם,5,something bound; a sheaf,
H500,אֶלעָלֵא אֶלעָלֵה,5,a place east of the Jordan,
H506,אֲלַף אֶלֶף,5,"alaph (al-af') ((Aramaic) or meleph (Aramaic) {eh'-lef}) n-m. 1. a thousand [properly, the same as H504] KJV: thousand.  See also: H505",
H529,אֵמוּן,5,truth.,
H552,אוּמנָם,5,in (very) deed; of a surety,
H570,אֶמֶשׁ,5,yesterday(-night),
H611,אָסוֹן,5,hurt,
H617,אַסִּיר,5,the name of two Israelites,
H636,אָע,5,"a` (aw) n-m. 1. a tree or wood [(Aramaic) corresponding to H6086] KJV: timber, wood.  Root(s): H6086",
H656,אָפֵס,5,"brought to nought), fail.",
H661,אָפַף,5,to surround,
H667,אֶפרוַֹח,5,the brood of a bird,
H673,אֶפרָתִי,5,Ephrathite.,
H680,אָצַל,5,"refuse, contract",
H686,אָצַר,5,+ (make) treasure(-r).,
H687,אֶצֶר,5,an Idumaean,
H709,אַרגּוֹב,5,a district of Israel,
H718,אֲרוּ,5,"aruw (ar-oo') inj. 1. lo! [(Aramaic) probably akin to H431] KJV: behold,lo.  Root(s): H431",
H732,אָרַח,5,wayfaring (man).,
H762,אֲרָמִיתּ,5,in Syriac.,
H763,אֲרַם נַהֲרַיִם,5,Mesopotamia.,
H855,אֵת,5,plowshare.,
H881,בְּאֵרוֹת,5,a place in Israel,
H886,בְּאֵרוֹתִי,5,a Beerothite or inhabitant of Beeroth,
H980,בַּחוּרִים בַּחוּרִים,5,a place in Israel,
H1071,בֶּכֶר,5,the name of two Israelites,
H1085,בִּלדַּד,5,one of Job's friends,
H1087,בָּלֶה,5,worn out,
H1158,בָּעָה,5,"inquire, seek up, swell out.",
H1173,בַּעֲלָה,5,the name of three places in Israel,
H1177,בַּעַל חָנָן,5,"the name of an Edomite, also of an Israelite",
H1217,בָּצֵק,5,flour.,
H1221,בֶּצֶר,5,also an Israelite,
H1231,בּוּקִּי,5,the name of two Israelites,
H1240,בְּקַר,5,"bqar (bek-ar') v. 1. inquire, make search [(Aramaic) corresponding to H1239]  Root(s): H1239",
H1289,בְּרַך,5,"brak (ber-ak') v. 1. bless, kneel [(Aramaic) corresponding to H1288]  Root(s): H1288",
H1297,בְּרַם,5,"bram (ber-am') adv. 1. (properly) highly, i.e. surely 2. (used adversatively) however [(Aramaic) perhaps from H7313 with a prepositional prefix] KJV: but, nevertheless, yet.  Root(s): H7313",
H1379,גָּבַל,5,set (bounds about).,
H1441,גִּדעוֹנִי,5,an Israelite,
H1470,גּוֹזָן,5,a province of Assyria,
H1500,גְּזֵלָה,5,"spoil, violence.",
H1552,גְּלִילָה,5,"coast, country.",
H1583,גַּמלִיאֵל,5,an Israelite,
H1584,גָּמַר,5,"come to an end, fail, perfect, perform.",
H1587,גְּמַריָה גְּמַריָהוּ,5,the name of two Israelites,
H1626,גֵּרָה,5,i.e. a gerah or small weight (and coin),
H1634,גֶּרֶם,5,i.e. (figuratively) very,
H1641,גָּרַר,5,"chew, X continuing, destroy, saw.",
H1660,גַּת,5,a wine-press (or vat for holding the grapes in pressing them),
H1690,דְּבֵלָה,5,a cake of pressed figs,
H1700,דִּברָה,5,suit or style,
H1739,דָּוֶה,5,"menstruous cloth, she that is sick, having sickness.",
H1740,דּוַּח,5,"purge, wash.",
H1780,דִּין,5,diyn (deen) n-m. 1. judgement [(Aramaic) corresponding to H1779]  Root(s): H1779,
H1789,דִּישָׁן,5,an Edomite],
H1794,דָּכָה,5,"contrite, crouch.",
H1801,דָּלַג,5,to spring,
H1802,דָּלָה,5,(figuratively) to deliver,
H1839,דָּנִי,5,of Dan.,
H1843,דֵַּע,5,opinion.,
H1891,הָבַל,5,specifically to lead astray,
H1927,הֲדָרָה,5,honour.,
H1949,הוּם,5,or agitate greatly,
H2027,הֶרֶג,5,slaughter.,
H2028,הֲרֵגָה,5,slaughter,
H2043,הֲרָרִי הָרָרִי הָארָרִי,5,a mountaineer,
H2062,זְאֵב,5,a Midianitish prince,
H2073,זְבוּל זֶבוּל,5,"dwelling, habitation.",
H2156,זְמוֹרָה זְמוֹרָה זְמוֹר,5,"branch, slip.",
H2182,זָנוַֹח,5,the name of two places in Israel,
H2191,זְעֵיר,5,meaning to dwindle],
H2196,זָעַף,5,i.e. (figuratively) to be peevish or angry,
H2228,זְרַחיָה,5,H3050,
H2251,חָבַט,5,"out), thresh.",
H2259,חוֹבֵל,5,shipmaster.,
H2284,חָגָב,5,a locust,
H2294,חַגִּיתּ,5,a wife of David,
H2380,חָזוּת,5,(by implication) a formal agreement,
H2392,חוֹזֶק,5,power,
H2407,חַטּוּשׁ,5,the name of four or five Israelites,
H2454,חָכמוֹת חַכמוֹת,5,every wise (woman).,
H2457,חֶלאָה,5,(properly) disease; (hence) rust,
H2465,חֶלֶד,5,"short time, world.",
H2496,חַלָּמִישׁ,5,rock.,
H2497,חֵלוֹן,5,an Israelite,
H2503,חֶלֶץ חֵלֶץ,5,"Chelets, the name of two Israelites",
H2537,חֲמוּטַל חֲמִיטַּל,5,an Israelitess,
H2590,חָנַט,5,put forth.,
H2596,חָנַך,5,train up.,
H2621,חוֹסָה,5,also a place in Israel,
H2633,חוֹסֶן,5,"strength, treasure.",
H2652,חָפנִי,5,an Israelite,
H2749,חַרטּוֹם,5,chartom (khar-tome') n-m. 1. magician [(Aramaic) the same as H2748]  Root(s): H2748,
H2786,חָרַק,5,to grate the teeth,
H2815,חַשּׁוּב,5,the name of two or three Israelites,
H2825,חֲשֵׁכָה חֲשֵׁיכָּה,5,darkness; (figuratively) misery,
H2828,חָשׁוּם,5,the name of two or three Israelites,
H2843,חוּשָׁתִי,5,a Chushathite or descendant of Chushah,
H2844,חַת,5,"dismayed, dread, fear.",
H2920,טַּל,5,tal (tal) n-m. 1. dew [(Aramaic) the same as H2919]  Root(s): H2919,
H2929,טַּלמוֹן,5,a temple doorkeeper,
H2941,טַּעַם,5,"ta`am (tah'-am) n-m. 1. (properly) a taste, i.e. (as in H2940) a judicial sentence [(Aramaic) from H2939] KJV: account, X to be commanded, commandment, matter.  Root(s): H2939  See also: H2940",
H2948,טּוֹפַח,5,H2947,
H2994,יְבֵמֶת,5,sister in law.,
H3025,יָגוֹר,5,fear.,
H3111,יוֹיָדָע,5,the name of two Israelites,
H3114,יוֹיָרִיבּ,5,the name of four Israelites,
H3136,יוֹצָדָק,5,an Israelite,
H3159,יִזרְעֵאלִיתּ,5,a Jezreelitess,
H3182,יָחֵף,5,being unshod.,
H3209,יִלּוֹד,5,born,
H3215,יְלָלָה,5,a howl,
H3232,יִמנָה,5,(with the article) of the posterity of one of them,
H3262,יְעוּאֵל,5,the name of four Israelites,
H3309,יָפִיַע,5,"the name of a Canaanite, an Israelite, and a place in Israel",
H3330,יַצִּיבּ,5,"yatstsiyb (yats-tseeb') adj. 1. fixed, sure 2. (concretely) certainty [(Aramaic) from H3321] KJV: certain(-ty), true, truth.  Root(s): H3321",
H3415,יָרַע,5,(properly) to be broken up (with any violent action) i.e. (figuratively) to fear,
H3419,יָרָק,5,herbs.,
